Parent_name,Gram_stain,Motility,Cell_shape,Culture_temperature_range,Oxygen_tolerance,Spore_formation,Biosafety_level
Nioella nitratireducens,NA,NA,NA,NA,NA,NA,BSL-1
Nioella ostreopsis,NA,NA,NA,NA,NA,NA,NA
Nioella sediminis,negative,no,rod,mesophilic,NA,NA,NA
Nisaea denitrificans,negative,yes,rod,mesophilic,NA,no,BSL-1
Nisaea nitritireducens,negative,yes,rod,mesophilic,NA,no,BSL-1
Nitratifractor salsuginis,negative,no,rod,mesophilic,NA,no,BSL-1
Nitratireductor alexandrii,NA,NA,NA,NA,NA,NA,NA
Nitratireductor aquimarinus,NA,NA,NA,mesophilic,NA,NA,NA
Nitratireductor basaltis,negative,no,rod,NA,NA,NA,NA
Nitratireductor indicus,negative,yes,rod,NA,NA,NA,NA
Nitratireductor kimnyeongensis,negative,yes,rod,mesophilic,NA,NA,BSL-1
Nitratireductor lacus,negative,yes,ovoid,NA,NA,NA,NA
Nitratireductor lucknowense,NA,NA,NA,NA,NA,NA,NA
Nitratireductor mangrovi,negative,no,rod,NA,NA,no,NA
Nitratireductor pacificus,NA,NA,NA,NA,NA,NA,BSL-1
Nitratireductor rhodophyticola,NA,NA,NA,NA,NA,NA,NA
Nitratireductor soli,NA,NA,NA,mesophilic,NA,NA,NA
Nitratiruptor labii,NA,NA,NA,thermophilic,NA,NA,NA
Nitratiruptor tergarcus,negative,no,rod,thermophilic,NA,no,BSL-1
Nitriliruptor alkaliphilus,positive,no,rod,mesophilic,NA,no,BSL-1
Nitrincola alkalilacustris,negative,yes,rod,NA,NA,NA,BSL-1
Nitrincola alkalisediminis,NA,NA,NA,mesophilic,NA,NA,NA
Nitrincola iocasae,NA,NA,NA,NA,NA,NA,NA
Nitrincola lacisaponensis,negative,yes,rod,mesophilic,NA,no,BSL-1
Nitrincola nitratireducens,NA,NA,NA,mesophilic,NA,NA,NA
Nitrincola schmidtii,negative,yes,rod,NA,NA,NA,BSL-1
Nitrincola tapanii,NA,NA,NA,mesophilic,NA,NA,NA
Nitrincola tibetensis,NA,NA,NA,NA,NA,NA,NA
Nitritalea halalkaliphila,negative,no,rod,NA,NA,NA,BSL-1
Nitrobacter hamburgensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrobacter vulgaris,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrobacter winogradskyi,NA,NA,NA,NA,NA,NA,NA
Nitrococcus mobilis,NA,NA,NA,NA,NA,NA,BSL-1
Nitrogeniibacter aestuarii,NA,NA,NA,NA,NA,NA,NA
Nitrogeniibacter mangrovi,NA,NA,NA,NA,NA,NA,NA
Nitrolancea hollandica,NA,NA,NA,NA,NA,NA,BSL-1
Nitropelagius marinus,NA,NA,NA,mesophilic,NA,NA,NA
Nitrosarchaeum koreense,negative,no,rod,mesophilic,NA,NA,NA
Nitrosococcus halophilus,NA,NA,NA,mesophilic,NA,NA,NA
Nitrosococcus oceani,NA,NA,NA,mesophilic,NA,NA,NA
Nitrosococcus wardiae,NA,NA,NA,mesophilic,NA,NA,NA
Nitrosococcus watsonii,NA,NA,NA,mesophilic,NA,NA,NA
Nitrosomonas communis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrosomonas europaea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrosomonas eutropha,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrosomonas nitrosa,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrosomonas stercoris,NA,NA,NA,NA,NA,NA,BSL-1
Nitrosophilus alvini,NA,NA,NA,thermophilic,NA,NA,NA
Nitrosopumilus adriaticus,NA,NA,rod,mesophilic,NA,NA,NA
Nitrosopumilus maritimus,NA,no,rod,NA,NA,NA,NA
Nitrosopumilus piranensis,NA,no,rod,mesophilic,NA,NA,NA
Nitrosopumilus zosterae,NA,NA,NA,NA,NA,NA,NA
Nitrososphaera gargensis,NA,NA,NA,thermophilic,NA,NA,NA
Nitrososphaera viennensis,NA,NA,NA,thermophilic,NA,NA,NA
Nitrosospira lacus,NA,NA,NA,NA,NA,NA,BSL-1
Nitrosospira multiformis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nitrospina gracilis,NA,NA,NA,NA,NA,NA,BSL-1
Nitrospira marina,NA,NA,NA,NA,NA,NA,BSL-1
Nitrospirillum amazonense,NA,NA,NA,mesophilic,NA,NA,NA
Nitrospirillum iridis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Niveibacterium microcysteis,NA,NA,NA,NA,NA,NA,NA
Niveibacterium umoris,negative,yes,rod,NA,NA,NA,BSL-1
Niveispirillum cyanobacteriorum,NA,NA,NA,NA,NA,NA,BSL-1
Niveispirillum fermenti,NA,NA,NA,NA,NA,NA,BSL-1
Niveispirillum irakense,NA,NA,NA,mesophilic,NA,NA,NA
Niveispirillum lacus,negative,yes,rod,NA,NA,NA,NA
Niveitalea solisilvae,negative,no,rod,NA,NA,NA,NA
Nocardia abscessus,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia acididurans,NA,NA,NA,NA,NA,NA,NA
Nocardia aciditolerans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia acidivorans,positive,NA,NA,mesophilic,NA,yes,BSL-1
Nocardia africana,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia alba,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia albiflava,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia albiluteola,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia altamirensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardia amamiensis,positive,no,rod,mesophilic,NA,yes,BSL-2
Nocardia amikacinitolerans,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia anaemiae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia aobensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia araoensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia arizonensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia artemisiae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia arthritidis,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia asiatica,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia asteroides,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia aurantia,NA,NA,NA,NA,NA,NA,NA
Nocardia aurantiaca,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia aurea,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia barduliensis,NA,NA,NA,NA,NA,NA,NA
Nocardia beijingensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia bhagyanarayanae,NA,NA,NA,NA,NA,NA,NA
Nocardia blacklockiae,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia bovistercoris,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia brasiliensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia brevicatena,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia caishijiensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia callitridis,positive,no,ovoid,mesophilic,NA,yes,BSL-1
Nocardia camponoti,positive,NA,NA,NA,NA,NA,BSL-1
Nocardia carnea,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia casuarinae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia cavernae,positive,no,NA,NA,NA,NA,BSL-1
Nocardia cerradoensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia coeliaca,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia coffeae,NA,NA,NA,NA,NA,NA,NA
Nocardia colli,NA,NA,NA,NA,NA,NA,NA
Nocardia concava,positive,no,NA,mesophilic,NA,NA,BSL-2
Nocardia coubleae,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia crassostreae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia cyriacigeorgica,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia devorans,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia diaphanozonaria,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia donostiensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia elegans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia endophytica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia exalbida,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia farcinica,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia flavorosea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia fluminea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia fusca,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia gamkensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia gipuzkoensis,NA,NA,NA,NA,NA,NA,NA
Nocardia globerula,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia goodfellowii,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardia grenadensis,NA,NA,NA,NA,NA,NA,NA
Nocardia halotolerans,NA,NA,NA,NA,NA,NA,BSL-1
Nocardia harenae,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia heshunensis,positive,no,rod,NA,NA,NA,BSL-1
Nocardia higoensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia huaxiensis,NA,NA,NA,NA,NA,NA,NA
Nocardia ignorata,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia inohanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia iowensis,positive,NA,rod,mesophilic,NA,yes,BSL-1
Nocardia jejuensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardia jiangsuensis,positive,no,NA,NA,NA,NA,BSL-1
Nocardia jiangxiensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia jinanensis,positive,no,NA,mesophilic,NA,NA,BSL-1
Nocardia kroppenstedtii,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia kruczakiae,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia lasii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia leishmanii,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia lijiangensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia lucida,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia macrotermitis,NA,NA,NA,NA,NA,NA,NA
Nocardia mangyaensis,positive,no,NA,mesophilic,NA,NA,NA
Nocardia marmarensis,NA,NA,NA,mesophilic,microaerophile,NA,NA
Nocardia mediterranei,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia mexicana,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia mikamii,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia miyunensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia neocaledoniensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia niigatensis,positive,no,rod,mesophilic,NA,NA,BSL-2
Nocardia ninae,positive,no,NA,mesophilic,NA,yes,BSL-1
Nocardia niwae,positive,no,NA,mesophilic,NA,NA,BSL-2
Nocardia nova,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia novocastrense,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia otitidiscaviarum,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia panacis,positive,no,NA,mesophilic,NA,NA,NA
Nocardia paraguayensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia paucivorans,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia pigrifrangens,positive,no,rod,NA,NA,NA,NA
Nocardia pneumoniae,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia polyresistens,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardia pseudobrasiliensis,NA,NA,NA,mesophilic,microaerophile,NA,NA
Nocardia pseudosporangifera,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia pseudovaccinii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia puris,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia rayongensis,positive,no,rod,NA,NA,NA,NA
Nocardia rhamnosiphila,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia rhizosphaerae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia rhizosphaerihabitans,positive,no,NA,mesophilic,NA,NA,BSL-1
Nocardia rosealba,NA,NA,NA,NA,NA,NA,NA
Nocardia roseoalba,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia salmonicolor,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia seriolae,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia shimofusensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia shinanonensis,positive,no,NA,thermophilic,NA,NA,NA
Nocardia sienata,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia speluncae,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardia stercoris,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia sungurluensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia takedensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia tenerifensis,NA,NA,NA,NA,NA,NA,NA
Nocardia tengchongensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia tenuis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia terpenica,positive,no,rod,mesophilic,NA,NA,BSL-2
Nocardia testacea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia thailandica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia thraciensis,positive,no,NA,mesophilic,NA,NA,BSL-1
Nocardia transvalensis,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia tsunamiensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia uniformis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia vaccinii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia vermiculata,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia veterana,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia vinacea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia violaceofusca,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia vulneris,NA,NA,NA,mesophilic,NA,NA,NA
Nocardia wallacei,NA,NA,NA,mesophilic,NA,NA,BSL-2
Nocardia xestospongiae,positive,no,NA,NA,NA,NA,NA
Nocardia xishanensis,positive,no,ovoid,mesophilic,NA,no,BSL-1
Nocardia yamanashiensis,positive,no,rod,mesophilic,NA,NA,BSL-2
Nocardia yunnanensis,positive,NA,rod,mesophilic,NA,NA,NA
Nocardia zapadnayensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardia zhihengii,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides acrostichi,NA,NA,NA,NA,NA,NA,NA
Nocardioides aestuarii,positive,no,rod,NA,NA,no,NA
Nocardioides agariphilus,positive,yes,ovoid,mesophilic,NA,no,BSL-1
Nocardioides agrisoli,positive,no,rod,mesophilic,NA,no,NA
Nocardioides albertanoniae,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides albidus,positive,no,coccus,NA,NA,NA,NA
Nocardioides albus,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides alcanivorans,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides alkalitolerans,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides allogilvus,positive,no,coccus,mesophilic,NA,NA,NA
Nocardioides alpinus,positive,no,rod,NA,NA,NA,BSL-1
Nocardioides anomalus,NA,NA,NA,NA,NA,NA,NA
Nocardioides antarcticus,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Nocardioides aquaticus,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Nocardioides aquiterrae,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides aromaticivorans,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides baekrokdamisoli,positive,no,coccus,psychrophilic,NA,no,BSL-1
Nocardioides bigeumensis,positive,yes,ovoid,mesophilic,NA,no,BSL-1
Nocardioides caeni,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides campestrisoli,NA,NA,NA,NA,NA,NA,NA
Nocardioides caricicola,positive,no,ovoid,mesophilic,NA,no,BSL-1
Nocardioides cavernae,positive,no,rod,NA,NA,no,BSL-1
Nocardioides convexus,NA,NA,NA,NA,NA,NA,NA
Nocardioides conyzicola,positive,no,rod,mesophilic,NA,no,NA
Nocardioides coralli,NA,NA,NA,NA,NA,NA,NA
Nocardioides currus,positive,no,rod,mesophilic,NA,NA,NA
Nocardioides cynanchi,NA,NA,NA,NA,NA,NA,NA
Nocardioides daecheongensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides daedukensis,positive,no,rod,NA,NA,no,BSL-1
Nocardioides daeguensis,positive,no,rod,NA,NA,no,NA
Nocardioides daejeonensis,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardioides daphniae,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides deserti,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides dilutus,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides dokdonensis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides donggukensis,NA,NA,NA,NA,NA,NA,NA
Nocardioides dongkuii,NA,NA,NA,NA,NA,NA,NA
Nocardioides dongxiaopingii,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides dubius,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides eburneiflavus,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides echinoideorum,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides endophyticus,positive,no,rod,NA,NA,no,NA
Nocardioides euryhalodurans,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides exalbidus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides fastidiosus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides ferulae,positive,no,rod,NA,NA,NA,NA
Nocardioides flavescens,NA,NA,NA,NA,NA,NA,NA
Nocardioides flavus,positive,no,rod,NA,NA,no,NA
Nocardioides fonticola,positive,no,rod,mesophilic,NA,no,NA
Nocardioides furvisabuli,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides ganghwensis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides gansuensis,positive,no,rod,NA,NA,no,NA
Nocardioides gilvus,NA,NA,NA,NA,NA,NA,BSL-1
Nocardioides ginkgobilobae,positive,no,rod,NA,NA,no,BSL-1
Nocardioides ginsengagri,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides ginsengisegetis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides ginsengisoli,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides glacieisoli,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides guangzhouensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides halotolerans,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides hankookensis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides houyundeii,positive,no,rod,mesophilic,NA,NA,NA
Nocardioides humi,positive,yes,rod,mesophilic,NA,NA,BSL-1
Nocardioides humilatus,NA,NA,NA,NA,NA,NA,NA
Nocardioides hungaricus,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides hwasunensis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides immobilis,negative,no,rod,NA,NA,no,NA
Nocardioides insulae,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides intraradicalis,positive,no,rod,NA,NA,no,NA
Nocardioides iriomotensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides islandensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides jejuensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides jensenii,NA,NA,NA,NA,NA,NA,NA
Nocardioides jishulii,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides kandeliae,positive,NA,rod,NA,NA,no,BSL-1
Nocardioides kongjuensis,positive,no,ovoid,mesophilic,NA,no,BSL-1
Nocardioides koreensis,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides kribbensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardioides lianchengensis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides lijunqiniae,NA,NA,NA,NA,NA,NA,NA
Nocardioides litoris,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardioides litorisoli,positive,no,rod,NA,NA,no,NA
Nocardioides luteus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides luti,NA,NA,NA,NA,NA,NA,NA
Nocardioides malaquae,NA,NA,NA,NA,NA,NA,NA
Nocardioides mangrovi,NA,NA,NA,NA,NA,NA,NA
Nocardioides maradonensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides marinisabuli,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides marinquilinus,positive,no,rod,NA,NA,no,NA
Nocardioides marinus,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides massiliensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides mesophilus,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides montaniterrae,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides nanhaiensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides nematodiphilus,NA,NA,NA,NA,NA,NA,NA
Nocardioides nitrophenolicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides ochotonae,NA,NA,NA,NA,NA,NA,NA
Nocardioides oleivorans,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides opuntiae,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides pacificus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides pakistanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides panacihumi,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides panacis,NA,NA,NA,NA,NA,NA,NA
Nocardioides panacisoli,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides panaciterrulae,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides pantholopis,NA,NA,NA,NA,NA,NA,NA
Nocardioides panzhihuensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides paucivorans,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides pelophilus,positive,yes,rod,NA,NA,NA,NA
Nocardioides perillae,positive,yes,rod,mesophilic,NA,NA,BSL-1
Nocardioides phosphati,positive,no,rod,NA,NA,no,BSL-1
Nocardioides piscis,NA,NA,NA,NA,NA,NA,NA
Nocardioides plantarum,NA,NA,NA,NA,NA,NA,NA
Nocardioides psychrotolerans,positive,no,rod,psychrophilic,NA,no,BSL-1
Nocardioides pyridinolyticus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides rotundus,positive,no,coccus,NA,NA,no,NA
Nocardioides rubriscoriae,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides salarius,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardioides salsibiostraticola,positive,no,rod,NA,NA,no,NA
Nocardioides sambongensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides sediminis,positive,yes,rod,mesophilic,NA,no,BSL-1
Nocardioides seonyuensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides silvaticus,positive,no,rod,NA,NA,NA,NA
Nocardioides simplex,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides soli,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides solisilvae,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides sonneratiae,positive,no,rod,NA,NA,no,BSL-1
Nocardioides speluncae,NA,NA,NA,NA,NA,NA,NA
Nocardioides stalactiti,NA,NA,NA,NA,NA,NA,NA
Nocardioides szechwanensis,positive,no,rod,psychrophilic,NA,no,BSL-1
Nocardioides taihuensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides terrae,positive,no,rod,mesophilic,NA,NA,BSL-1
Nocardioides terrigena,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides thalensis,positive,no,rod,NA,NA,NA,BSL-1
Nocardioides tritolerans,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides ultimimeridianus,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides ungokensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides vastitatis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardioides yefusunii,positive,no,rod,mesophilic,NA,no,NA
Nocardioides zeae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardioides zeicaulis,positive,no,rod,mesophilic,NA,no,BSL-1
Nocardioides zhouii,positive,no,rod,NA,NA,no,NA
Nocardiopsis aegyptia,positive,no,NA,mesophilic,NA,yes,BSL-1
Nocardiopsis akesuensis,positive,NA,NA,NA,NA,yes,NA
Nocardiopsis alba,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis algeriensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis alkaliphila,positive,no,NA,mesophilic,NA,yes,BSL-1
Nocardiopsis ansamitocini,positive,NA,NA,NA,NA,yes,BSL-1
Nocardiopsis arabicus,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis buerjinensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis chakaensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis chromatogenes,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardiopsis composta,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis coralli,NA,NA,NA,NA,NA,NA,NA
Nocardiopsis coralliicola,NA,NA,NA,mesophilic,NA,yes,NA
Nocardiopsis dassonvillei,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis exhalans,NA,NA,NA,NA,NA,NA,NA
Nocardiopsis fildesensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardiopsis flavescens,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis flavidus,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis fragmentaris,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis ganjiahuensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis gilva,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardiopsis halophila,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis halotolerans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis kunsanensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis listeri,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis lucentensis,NA,NA,NA,mesophilic,NA,yes,BSL-1
Nocardiopsis mangrovei,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis metallicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis mwathae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis nanhaiensis,NA,NA,NA,mesophilic,NA,NA,NA
Nocardiopsis nikkonensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Nocardiopsis oceani,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis potens,positive,no,coccus,mesophilic,NA,yes,BSL-1
Nocardiopsis prasina,NA,NA,NA,mesophilic,NA,NA,BSL-1
Nocardiopsis quinghaiensis,positive,no,NA,mesophilic,NA,yes,BSL-1
Nocardiopsis rampartis,NA,NA,NA,mesophilic,NA,NA,NA
