Species,anthropic/claude-3-sonnet,anthropic/claude-sonnet-4,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-flash-lite,google/gemma-3-27b-it,meta-llama/llama-3.3-70b-instruct,mistralai/mistral-nemo,moonshotai/kimi-k2,openai/gpt-4,openai/gpt-4.1,openai/gpt-4.1-nano,openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-5,openai/gpt-5-nano,openai/gpt-oss-120b,openai/gpt-oss-20b,openai/o4-mini,perplexity/sonar-reasoning-pro,x-ai/grok-3-mini
Phyllobacterium trifolii,Moderate,Moderate,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Moderate,Extensive,Limited,Limited,Inference Failed,Moderate,Moderate,No Result,Moderate
Rhizobacter gummiphilus,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,NA,Limited,Limited,Limited,NA,Inference Failed,Limited,NA,No Result,Moderate
Corynebacterium felinum,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Corynebacterium spheniscorum,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,NA,No Result,NA,Limited,Limited,NA,NA,Limited,Limited,Limited,No Result,Limited
Actinobaculum massiliense,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Chryseobacterium ureilyticum,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Streptomyces chiangmaiensis,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Chryseobacterium polytrichastri,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,No Result,Limited
Pseudomonas dryadis,Moderate,Limited,NA,Limited,Limited,Limited,Moderate,NA,Moderate,Limited,Limited,No Result,NA,Limited,NA,Limited,NA,NA,Limited,NA,No Result,Limited
Streptomyces yerevanensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Mycobacterium europaeum,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Petrimonas sulfuriphila,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Helicobacter cholecystus,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,Moderate,NA,No Result,NA,Limited,Limited,NA,NA,NA,NA,Limited,No Result,Limited
Streptomyces aureocirculatus,Moderate,Limited,Limited,Limited,Limited,Moderate,Extensive,Limited,Limited,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Moderate,Limited,No Result,Moderate
Bradyrhizobium retamae,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,No Result,Moderate
Streptomyces qinzhouensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Pseudomonas bijieensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Streptomyces tacrolimicus,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Limited,Extensive,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Moderate,Limited,NA,No Result,Extensive
Colwellia maris,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,No Result,Moderate
Leifsonia poae,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,No Result,Limited
Sphingomonas leidyi,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,NA,NA,NA,Limited,Limited,No Result,Limited
Avibacterium avium,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Limited,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Extensive,NA,No Result,Moderate
Legionella lytica,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,NA,NA,No Result,Moderate,Limited,Limited,NA,NA,NA,Limited,NA,No Result,NA
Paenibacillus cookii,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,NA,No Result,NA,Limited,Moderate,Limited,NA,Limited,Moderate,Limited,No Result,Moderate
Pseudomonas khazarica,Moderate,Limited,Limited,Limited,Limited,NA,Moderate,Moderate,Limited,Limited,Limited,No Result,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,No Result,Moderate
Streptomyces yogyakartensis,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Bacteroides gallinarum,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,No Result,Moderate
Streptomyces hokutonensis,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Enterococcus ratti,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,NA,NA,Limited,Moderate,No Result,Limited
Streptomyces phaeolivaceus,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Moderate,Moderate,Limited,No Result,Extensive
Streptomyces mutomycini,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,NA,Limited,Limited,Moderate,Limited,No Result,NA
Azospirillum humicireducens,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Rummeliibacillus pycnus,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Limited,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Streptomyces lavendulocolor,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Moderate,NA,Moderate,Limited,Limited,No Result,NA
Paenibacillus azoreducens,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Pseudomonas fluvialis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,NA,NA,Limited,Limited,Limited,No Result,Moderate
Streptomyces caniscabiei,Moderate,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Streptomyces liliifuscus,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Extensive,Limited,Limited,No Result,Limited,Limited,Extensive,Limited,NA,Moderate,Limited,Limited,No Result,Moderate
Halorubrum trapanicum,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Moderate
Streptomyces crystallinus,Extensive,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Extensive,Limited,Extensive,Limited,NA,Moderate,Limited,Moderate,No Result,Moderate
Streptococcus didelphis,Extensive,Limited,NA,Limited,NA,Limited,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Limited,Limited,NA,NA,Limited,NA,No Result,Limited
Fluoribacter dumoffii,Limited,Limited,Moderate,Moderate,NA,Limited,Moderate,Moderate,Moderate,Extensive,Limited,No Result,NA,Moderate,Limited,Extensive,NA,Limited,Limited,NA,No Result,Moderate
Ligilactobacillus acidipiscis,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate
Propionibacterium australiense,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,NA,No Result,Limited
Pseudomonas viciae,Moderate,Limited,NA,Limited,Moderate,Limited,Moderate,NA,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,NA,NA,Limited,Limited,NA,No Result,Moderate
Streptomyces roseirectus,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,NA,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,NA,NA,Limited,Moderate,NA,No Result,NA
Flavobacterium glaciei,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Aeromonas piscicola,Moderate,Limited,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Mesorhizobium muleiense,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited,No Result,Limited
Bartonella ancashensis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,No Result,Limited
Schaalia cardiffensis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,NA,NA,Limited,NA,No Result,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Mesorhizobium qingshengii,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate
Rhizobium acidisoli,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,NA,Moderate,Limited,No Result,Moderate
Mycobacterium parmense,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,NA
Bradyrhizobium guangdongense,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Leuconostoc suionicum,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited,No Result,Limited
Microbulbifer variabilis,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,NA,Moderate,Limited,Moderate,Limited,No Result,Moderate
Streptomyces albidochromogenes,Moderate,Moderate,Moderate,Moderate,NA,Extensive,Extensive,Moderate,Extensive,Moderate,Moderate,No Result,Moderate,Limited,Extensive,Moderate,NA,Limited,Limited,Moderate,No Result,Moderate
Sphingomonas pruni,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Moderate,Limited,Limited,No Result,Moderate
Paenibacillus provencensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Streptomyces deserti,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Paenibacillus motobuensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Streptomyces phaeoluteichromatogenes,Moderate,Limited,Moderate,Moderate,Limited,Limited,Extensive,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Moderate,Limited,No Result,Moderate
Vibrio xuii,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,NA,Limited,Limited,NA,No Result,NA,NA,Limited,NA,NA,Limited,Limited,NA,No Result,NA
Corynebacterium belfantii,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,NA,No Result,Extensive,Limited,Limited,Moderate,NA,Limited,Limited,Limited,No Result,NA
Amycolatopsis vancoresmycina,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Moderate,Limited,Limited,No Result,Moderate
Nocardia alba,Moderate,Limited,Moderate,Limited,NA,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,NA,Limited,Extensive,Limited,Limited,No Result,Moderate
Pseudomonas tohonis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Extensive,Limited,NA,Limited,NA,Limited,Limited,Limited,No Result,NA
Microbacterium saperdae,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Nocardiopsis flavescens,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Moderate,Limited,No Result,Moderate
[Haemophilus] piscium,Moderate,Limited,NA,Limited,Limited,NA,Moderate,Limited,Moderate,Limited,NA,No Result,NA,Limited,Limited,NA,NA,NA,Limited,NA,No Result,Limited
Enterovibrio coralii,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,No Result,Limited
Pseudoalteromonas maricaloris,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Limited,Limited,Moderate,Moderate,NA,Limited,Limited,Limited,No Result,NA
Staphylococcus pseudoxylosus,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,NA,Extensive,Limited,Limited,No Result,Extensive,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,No Result,Moderate
Corynebacterium caspium,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,No Result,NA
Micromonospora matsumotoense,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,NA,Limited,Moderate,Limited,Limited,No Result,Moderate
Pseudoalteromonas aliena,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Cutibacterium modestum,Moderate,Limited,Limited,Limited,Limited,Limited,Extensive,Limited,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,NA
Streptomyces plumbiresistens,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Caballeronia glathei,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,NA,Moderate,Moderate,Limited,No Result,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Limited,Limited,No Result,Moderate
Paraburkholderia caffeinilytica,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Limited
Clostridium tarantellae,Limited,Limited,Limited,Limited,NA,Limited,Moderate,NA,Moderate,Limited,Limited,No Result,Limited,NA,Limited,NA,NA,NA,Limited,Limited,No Result,Limited
Pandoraea vervacti,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,No Result,NA
Macrococcus carouselicus,NA,Limited,NA,Limited,NA,Limited,Moderate,NA,Limited,Limited,NA,No Result,NA,NA,Limited,NA,NA,NA,NA,NA,No Result,NA
Kurthia massiliensis,Moderate,Limited,Limited,Limited,Limited,NA,Moderate,Limited,Limited,Limited,Limited,No Result,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Pseudomonas siliginis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,NA,Moderate,Limited,NA,No Result,Moderate,Limited,NA,Limited,NA,Moderate,Limited,Limited,No Result,Limited
Acidovorax carolinensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,NA,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Achromobacter kerstersii,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited,No Result,Moderate
Enterobacter chuandaensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,No Result,Limited
Listeria booriae,Limited,Limited,NA,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Extensive,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,NA
Vibrio variabilis,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,NA,Limited,Moderate,NA,NA,Moderate,Moderate,Limited,No Result,NA
Bacillus fungorum,Moderate,Limited,Limited,NA,NA,Limited,Moderate,Limited,Moderate,Extensive,Limited,No Result,Moderate,NA,Moderate,NA,Moderate,Limited,Limited,NA,No Result,Moderate
Pseudomonas piscis,Moderate,Limited,Limited,Limited,NA,NA,Moderate,NA,Moderate,Limited,NA,No Result,NA,Limited,Limited,NA,NA,Limited,Limited,NA,No Result,Moderate
Helicobacter equorum,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Burkholderia catarinensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,NA,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Limited
Pseudomonas zeshuii,Moderate,Limited,NA,Limited,NA,Limited,Moderate,NA,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,NA,Limited,Limited,Limited,No Result,NA
Streptomyces siamensis,Moderate,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Trichococcus pasteurii,Moderate,Limited,Moderate,Moderate,NA,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Limited,Limited,Moderate,Moderate,NA,Moderate,Limited,Limited,No Result,NA
Acinetobacter kookii,Moderate,Limited,NA,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,NA
Gordonia hongkongensis,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,No Result,Moderate
Streptomyces fagopyri,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Helicobacter ailurogastricus,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,No Result,Limited
Cupriavidus cauae,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,NA,Limited,Limited,NA,NA,NA,NA,Limited,No Result,NA
Pseudomonas kielensis,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Limited,No Result,Moderate,Limited,Moderate,NA,Limited,Limited,Limited,Limited,No Result,Moderate
Micromonospora purpureochromogenes,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited,No Result,Moderate,Moderate,Extensive,Moderate,Limited,Moderate,Limited,Moderate,No Result,Moderate
Streptomyces roseoviridis,Moderate,Limited,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Moderate,Limited,No Result,Extensive
Paenibacillus rhizosphaerae,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,No Result,Moderate
Streptomyces ardesiacus,Moderate,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Moderate,Extensive,Limited,NA,Moderate,Limited,Limited,No Result,NA
Streptomyces viridiviolaceus,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Extensive,Limited,NA,No Result,Moderate,Limited,Extensive,NA,NA,Moderate,Moderate,Limited,No Result,Moderate
Clostridium punense,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,NA,NA,Limited,NA,No Result,Limited
Mycolicibacterium rhodesiae,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Moderate,NA,No Result,Extensive,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,No Result,Moderate
Streptomyces spongiae,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Extensive,Limited,Limited,NA,No Result,Limited,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Arthrobacter russicus,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Moderate
Pantoea deleyi,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,NA,Limited,Moderate,NA,NA,Limited,Limited,Limited,No Result,Moderate
Falsibacillus pallidus,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,NA
Paenibacillus hunanensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Limited,Limited,Moderate,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Xanthomonas melonis,Moderate,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,NA,Moderate,Moderate,Moderate,Limited,No Result,Moderate
Pseudomonas inefficax,Moderate,Limited,NA,Limited,NA,Limited,Moderate,Moderate,Limited,Limited,NA,No Result,Moderate,NA,Limited,NA,NA,NA,NA,NA,No Result,Limited
Nocardia neocaledoniensis,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Extensive,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,No Result,Limited
Novacetimonas hansenii,Limited,Limited,Limited,Limited,NA,Limited,Moderate,NA,Moderate,NA,NA,No Result,Moderate,Limited,Limited,Extensive,Limited,Extensive,Limited,NA,No Result,NA
Neisseria animalis,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,NA,No Result,Extensive,Limited,Moderate,NA,NA,Limited,Moderate,NA,No Result,Moderate
Xanthomonas pisi,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,NA,Limited,Limited,Moderate,Moderate,No Result,Moderate
Streptomyces rhizosphaerihabitans,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Limited,Limited,Extensive,Limited,NA,Limited,Limited,Limited,No Result,Moderate
Pediococcus stilesii,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,NA,No Result,NA,Limited,Extensive,NA,NA,Limited,Limited,Limited,No Result,Limited
Klebsiella spallanzanii,Moderate,Moderate,Limited,Limited,NA,Limited,Extensive,Moderate,Limited,Limited,Limited,No Result,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,No Result,Moderate
Pyxidicoccus fallax,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,NA,No Result,Limited,Limited,Extensive,Moderate,Limited,Limited,Limited,Limited,No Result,NA
Sphingobium cloacae,Moderate,Limited,Moderate,Moderate,Limited,Limited,Extensive,Moderate,Moderate,Limited,NA,No Result,NA,Limited,Extensive,Moderate,NA,Limited,Limited,Limited,No Result,NA
Pseudomonas tructae,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,NA,Moderate,Limited,NA,No Result,Moderate,Limited,NA,NA,Limited,Limited,Limited,Limited,No Result,Moderate
Streptomyces roseoviolaceus,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Extensive,Extensive,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,Limited,Moderate,Moderate,Limited,No Result,Moderate
Kitasatospora albolonga,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Moderate,NA,Limited,Limited,Limited,No Result,Moderate
