Sample,openai/gpt-5-nano,openai/gpt-5,x-ai/grok-4,perplexity/sonar-reasoning-pro,openai/gpt-oss-120b,openai/o1-mini,microsoft/phi-4,openai/o3,x-ai/grok-3-mini-beta,x-ai/grok-3-mini,deepseek/deepseek-chat,deepseek/deepseek-r1,x-ai/grok-3-beta,x-ai/grok-3,openai/o4-mini,openai/o3-mini,google/gemini-2.5-flash,openai/gpt-4,google/gemini-2.0-flash-lite-001,deepseek/deepseek-chat-v3-0324,openai/o3-mini-high,qwen/qwen3-14b,openai/gpt-4o-mini-search-preview,perplexity/r1-1776,openai/gpt-4.1-nano,mistralai/mistral-7b-instruct-v0.3,openai/gpt-4o,meta-llama/llama-3.3-70b-instruct,x-ai/grok-2-1212,anthropic/claude-3.7-sonnet:thinking,openai/gpt-oss-20b,deepseek/deepseek-r1-0528,nousresearch/hermes-3-llama-3.1-70b,google/gemini-2.5-pro,google/gemini-2.5-pro-preview,anthropic/claude-sonnet-4,perplexity/sonar,meta-llama/llama-4-scout,moonshotai/kimi-k2,anthropic/claude-3.5-sonnet,google/gemini-2.0-flash-001,openai/gpt-4.1,anthropic/claude-3.7-sonnet,deepseek/deepseek-chat-v3.1,google/gemini-2.5-flash-lite,meta-llama/llama-3-70b-instruct,openai/gpt-4o-mini,google/gemma-3-12b-it,google/gemma-3-4b-it,anthropic/claude-3.5-haiku,anthropic/claude-3-haiku:beta,meta-llama/llama-3.1-8b-instruct,google/gemma-3-27b-it,anthropic/claude-3-sonnet,mistralai/mistral-nemo,meta-llama/llama-3-8b-instruct,meta-llama/llama-3.2-3b-instruct
Pasteurella ligni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited
Micrococcus ferri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,NA,NA,NA,NA,Limited,Moderate,Limited,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate
Leuconostoc fluvii,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Inference Failed,Moderate,NA,NA,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Extensive,Extensive,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Bacteroides glacies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,NA,Moderate,NA,NA,Limited,Limited,Limited,Limited,NA,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,NA,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Veillonella ferrum,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,Moderate,NA,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Fusobacterium tempus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited
Actinomyces radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Moderate,NA,NA,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited
Bordetella igneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited
Brucella niveus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Limited,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,NA,Limited,Moderate
Chlamydia solis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited
Treponema aquae,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Moderate
Burkholderia glacialis,NA,NA,Limited,Limited,Limited,Limited,Moderate,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Inference Failed,Extensive,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Francisella aether,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,Limited,NA,Limited,Limited,Moderate,Moderate,Limited,Limited,NA,Moderate,Moderate,Limited,Limited,Limited
Rickettsia lunae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Moderate,NA,Limited,Limited,Limited,NA,Limited,Moderate,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate
Streptomyces terra,NA,NA,NA,NA,NA,NA,Moderate,NA,Extensive,NA,Moderate,Moderate,NA,NA,NA,Moderate,NA,Limited,Extensive,Moderate,Limited,NA,NA,Moderate,Moderate,NA,Limited,Extensive,Limited,Limited,Inference Failed,Moderate,Moderate,Extensive,Extensive,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Limited,Moderate,Moderate,Extensive,Extensive,Limited,Moderate,Extensive
Listeria phosphorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,NA,NA,Moderate,Moderate,Moderate,Moderate,Moderate,Limited
Nocardia oralis,NA,NA,NA,NA,Limited,Limited,Moderate,Limited,NA,NA,Moderate,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate
Spirochaeta aestus,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,Limited,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Inference Failed,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate
Mycoplasma nubes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,Limited,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Extensive,Limited,Moderate
Anaplasma calidus,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,Moderate,Limited,Limited,NA,NA,NA,Limited,NA,NA,Limited,Limited,Limited,NA,Moderate,Limited,NA,NA,NA,Limited,Moderate,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Extensive
Bartonella tenebrae,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,Limited,Limited,NA,Limited,NA,Limited,NA,Limited,NA,Moderate,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Moderate
Chlamydophila polus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Limited
Eikenella salum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,NA,NA,Limited,NA,NA,Limited,Moderate,NA,NA,NA,NA,Limited,Limited,NA,Moderate,NA,NA,Limited,Limited,Moderate,NA,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Extensive,Limited,Moderate
Gallionella noctis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate
Xanthomonas firmamentum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,NA,NA,Limited,NA,Limited,NA,Limited,Limited,NA,Limited,Limited,Moderate,NA,Limited,NA,Limited,Limited,NA,Limited,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited
Luminaricella coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,Moderate
Veloxigenium aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,Extensive,Limited,NA,NA,NA,Moderate,Moderate,Limited,Limited,Moderate,Limited
Frigusoma putida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,Limited,Limited,NA,NA,NA,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Ignicellula acidilactici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Moderate,NA,NA,Limited,Extensive,NA,Moderate,Moderate,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Extensive,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Solispira typhimurium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Extensive,NA,Limited,NA,Limited,NA,Extensive,Moderate,Moderate,Limited,Moderate
Aurorabacillus subtilis,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,Inference Failed,NA,Extensive,NA,NA,Extensive,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,NA,Moderate,Moderate
Aquavibrio cholerae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Extensive,NA,NA,NA,Extensive,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Extensive,NA,NA,NA,NA,Limited,NA,NA,NA,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Limited,Extensive,Extensive,Moderate,Moderate,Moderate
Ventiella faecalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,Limited,Limited,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate
Arboricola pneumoniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,Moderate,Extensive,Limited,Moderate,Limited,NA,Moderate,Extensive,NA,NA,Moderate,Moderate
Petraflexus fragilis,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,Limited,NA,Inference Failed,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate
Luxbacillus cereus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,Extensive,Moderate,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,Limited,NA,NA,Extensive,NA,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate
Nixicoccus aureus,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Calidibacter thermophilus,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Moderate,Extensive,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate
Sidereum metallidurans,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Extensive,Extensive,NA,Limited,Moderate,NA,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate
Gelubacillus licheniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,Extensive,NA,NA,Extensive,Extensive,NA,NA,Extensive,NA,Extensive,Extensive,NA,Moderate,Extensive,NA,Limited,NA,Moderate,NA,NA,NA,Extensive,Moderate,NA,NA,NA,NA,NA,Extensive,Limited,Moderate,Extensive,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate
Umbralevi influenzae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Limited,Extensive,Limited,Moderate,NA,NA,NA,Moderate,Moderate
Caelibacter perfringens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Extensive,Moderate,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Moderate,Extensive,Moderate,NA,Extensive,Limited,NA,Limited,Moderate,Extensive,Limited,Extensive
Aquilonifer dysenteriae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,NA,Limited,Moderate
Luminoflora rhamnosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,Moderate,Moderate,NA,Limited,NA,Moderate,Moderate,Moderate
Stellibacter agalactiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Extensive,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,Limited,NA,Extensive,Moderate,Moderate,Limited,Limited,NA,Moderate,Limited,Limited,Moderate,Limited
Crescobacter plantarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,Moderate,NA,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,NA,Limited,Moderate,Moderate
Flammabacter pyogenes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited
Monticola anthracis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Limited,Limited,Limited,Limited,Limited,Limited,Extensive,Limited,Limited,Moderate
Silvarumcella tularensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Limited,Extensive,Limited,Moderate,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited
Ventusospira typhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate,NA,Limited,Limited,Moderate,Limited,Moderate,Moderate,Extensive
Arboribacter melitensis,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Extensive,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate
Siderosoma enteritidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate
Fluminibacter meningitidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Moderate,Moderate,NA,NA,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,NA,NA,Moderate,NA,NA,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Glaeciabacter megaterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Extensive,Limited,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Limited,Moderate,Limited
Ferrivibrio vulnificus,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Extensive,NA,Extensive,Moderate,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Extensive,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Extensive,Moderate,Moderate,Limited,Extensive,Moderate,Extensive
Temporibacter coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,NA,Moderate,NA,Limited,NA,Limited,Extensive,Moderate,Moderate,Moderate,Moderate
Radiobacillus difficile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,Moderate,NA,Moderate,Limited,Moderate,Moderate,Moderate,Moderate
Ignispirillum jirovecii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Limited,Extensive,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Moderate,Moderate,Limited,NA,Limited,Moderate,Limited,NA,Limited,Limited
Niveococcus pneumoniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,Extensive,NA,NA,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Heliosoma epidermidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Limited
Aquaspira mirabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Moderate,Moderate,NA,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate
