Model	Organization	Publication date	Reference	Parameters	Training compute (FLOP)	Training compute notes	Training dataset	Approach	Confidence	Abstract	Epochs	Benchmark data	Model accessibility	Country (of organization)	Last modified	Training cloud compute vendor	Training data center	Archived links	Batch size	Batch size notes	Organization categorization
Llama-3.1-8B	Meta AI	2024-07-23	The Llama 3 Herd of Models	8000000000	1.22E+24	Huggingface page says 3.1-8B used 1.46M H100 hours and trained over 15T tokens. https://huggingface.co/meta-llama/Llama-3.1-70B The paper also says that 3.1-405B got MFU of between 38-43%; presumably 8B was around the same or a bit higher. I'll assume utilization of 40%  6ND: 6 * 15T * 8B = 7.2e23 FLOPs  Hardware: 1.46M * 9.9e14 * 3600 * 0.4 = 2.08e24 FLOPs  Geometric mean: sqrt(7.2e23 * 2.08e24) = 1.224e24  Note that Llama 3-8B also said it used 15T tokens, but only 1.3M H100 hours. This suggests 3.1 might have used a bit more than 15T tokens.	Llama 3 dataset		Likely	Modern artificial intelligence (AI) systems are powered by foundation models. This paper presents a new set of foundation models, called Llama 3. It is a herd of language models that natively support multilinguality, coding, reasoning, and tool usage. Our largest model is a dense Transformer with 405B parameters and a context window of up to 128K tokens. This paper presents an extensive empirical evaluation of Llama 3. We find that Llama 3 delivers comparable quality to leading language models such as GPT-4 on a plethora of tasks. We publicly release Llama 3, including pre-trained and post-trained versions of the 405B parameter language model and our Llama Guard 3 model for input and output safety. The paper also presents the results of experiments in which we integrate image, video, and speech capabilities into Llama 3 via a compositional approach. We observe this approach performs competitively with the state-of-the-art on image, video, and speech recognition tasks. The resulting models are not yet being broadly released as they are still under development.			Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00						Industry
Llama-3-70B	Meta AI	2024-04-18	Introducing Meta Llama 3: The most capable openly available LLM to date	70000000000	7.86E+24	Arithmetic calculation: 6 * 15T tokens * 70B parameters = 6.3e24  GPU calculation: https://huggingface.co/meta-llama/Meta-Llama-3-70B indicates training took 6.4M GPU-hours We also know their larger scale training runs for 405B were getting between 0.38-0.41 MFU. Presumably the 70B model gets at least 0.43 utilization (405B has to be split across two nodes, while 70B should fit on one). 990 TFLOPS per GPU * 6.4 million GPU hours * 3600s * 0.43 = 9.808e24  Geometric mean: sqrt(6.3e24 * 9.808e24) = 7.861e24	Llama 3 dataset		Confident				Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00						Industry
llama-3-8b-instruct	Meta AI	2024-04-18	Introducing Meta Llama 3: The most capable openly available LLM to date	8000000000	7.20E+23	Counting operations 15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP  GPU calculation 400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24  (it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)	Llama 3 dataset		Confident	Today, we’re introducing Meta Llama 3, the next generation of our state-of-the-art open source large language model. Llama 3 models will soon be available on AWS, Databricks, Google Cloud, Hugging Face, Kaggle, IBM WatsonX, Microsoft Azure, NVIDIA NIM, and Snowflake, and with support from hardware platforms offered by AMD, AWS, Dell, Intel, NVIDIA, and Qualcomm. We’re dedicated to developing Llama 3 in a responsible way, and we’re offering various resources to help others use it responsibly as well. This includes introducing new trust and safety tools with Llama Guard 2, Code Shield, and CyberSec Eval 2. In the coming months, we expect to introduce new capabilities, longer context windows, additional model sizes, and enhanced performance, and we’ll share the Llama 3 research paper. Meta AI, built with Llama 3 technology, is now one of the world’s leading AI assistants that can boost your intelligence and lighten your load—helping you learn, get things done, create content, and connect to make the most out of every moment. You can try Meta AI here.			Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00						Industry
Llama-2-70B	Meta AI	2023-07-18	Llama 2: Open Foundation and Fine-Tuned Chat Models	70000000000	8.10E+23	"Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB" of which 1720320 GPU hours were used to train the 70B model.  311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.  Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.	Llama 2 dataset	Supervised	Confident	In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs.	1		Open weights (restricted use)	United States of America	2025-08-11 14:22:24+00:00		Meta’s Research Super Cluster		4000000		Industry
Llama 2-34B	Meta AI	2023-07-18	Llama 2: Open Foundation and Fine-Tuned Chat Models	34000000000	4.08E+23	All models sizes trained on 2.0T tokens, per table 1 2T * 34b * 6 = 4.08e23  Also trained on 1038336 A100-hours, which is 3.5e23 at 30% utilization. So the utilization was probably around 35%.	Llama 2 dataset	Supervised	Confident	In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs.	1		Unreleased	United States of America	2025-08-01 16:23:06+00:00		Meta’s Research Super Cluster		4000000		Industry
Llama 2-7B	Meta AI	2023-07-18	Llama 2: Open Foundation and Fine-Tuned Chat Models	7000000000	8.40E+22	Trained on 2 trillion tokens per Table 1.   C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.  Also, 7B model was trained on 184320 GPU-hours  312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP	Llama 2 dataset	Supervised	Confident	In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs.	1		Open weights (restricted use)	United States of America	2025-08-01 16:23:06+00:00		Meta’s Research Super Cluster		4000000		Industry
Llama 2-13B	Meta AI	2023-07-18	Llama 2: Open Foundation and Fine-Tuned Chat Models	13000000000	1.60E+23	13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP	Llama 2 dataset	Supervised	Confident	In this work, we develop and release Llama 2, a collection of pretrained and fine-tuned large language models (LLMs) ranging in scale from 7 billion to 70 billion parameters. Our fine-tuned LLMs, called Llama 2-Chat, are optimized for dialogue use cases. Our models outperform open-source chat models on most benchmarks we tested, and based on our human evaluations for helpfulness and safety, may be a suitable substitute for closedsource models. We provide a detailed description of our approach to fine-tuning and safety improvements of Llama 2-Chat in order to enable the community to build on our work and contribute to the responsible development of LLMs.	1		Open weights (restricted use)	United States of America	2025-08-07 06:15:59+00:00		Meta’s Research Super Cluster		4000000		Industry
Gemini-Flash-2.0:Thinking	Google DeepMind,Google	2024-12-19	Our enhanced reasoning model, capable of showing its thoughts to improve performance and explainability				Unspecified unreleased		Unknown	Combining speed and performance, 2.0 Flash Thinking Experimental also excels in science and math, showing its thinking to solve complex problems.  Enhanced performance Improvements on math and science benchmarks.  Long context A one-million token context window enables deeper analysis of long-form text.  Improved thinking More consistency between thoughts and answers.  Tool use Turn on code execution to run and evaluate code.  Best for Complex tasks without the need for low latency			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,United States of America,United Kingdom of Great Britain and Northern Ireland,Switzerland,Germany	2025-06-25 18:31:07+00:00						Industry,Industry
Gemini-Flash-2.0 	Google DeepMind,Google	2024-12-11	Introducing Gemini 2.0: our new AI model for the agentic era			"We used Trillium TPUs to train the new Gemini 2.0, Google’s most capable AI model yet" according to https://cloud.google.com/blog/products/compute/trillium-tpu-is-ga	Unspecified unreleased		Unknown	Gemini 2.0 Flash builds on the success of 1.5 Flash, our most popular model yet for developers, with enhanced performance at similarly fast response times. Notably, 2.0 Flash even outperforms 1.5 Pro on key benchmarks, at twice the speed. 2.0 Flash also comes with new capabilities. In addition to supporting multimodal inputs like images, video and audio, 2.0 Flash now supports multimodal output like natively generated images mixed with text and steerable text-to-speech (TTS) multilingual audio. It can also natively call tools like Google Search, code execution as well as third-party user-defined functions.			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,United States of America,United Kingdom of Great Britain and Northern Ireland,Switzerland,Germany	2025-06-10 16:49:19+00:00						Industry,Industry
gemma-3	Google DeepMind	2025-08-14	Introducing Gemma 3 270M: The compact model for hyper-efficient AI	270000000	9.72E+21	6 FLOP / parameter / token * 270 * 10^9 parameters * 6 * 10^12 tokens = 9.72e+21 FLOP	Unspecified unreleased		Confident	Today, we're adding a new, highly specialized tool to the Gemma 3 toolkit: Gemma 3 270M, a compact, 270-million parameter model designed from the ground up for task-specific fine-tuning with strong instruction-following and text structuring capabilities already trained in. Compact and capable architecture: Our new model has a total of 270 million parameters: 170 million embedding parameters due to a large vocabulary size and 100 million for our transformer blocks. Thanks to the large vocabulary of 256k tokens, the model can handle specific and rare tokens, making it a strong base model to be further fine-tuned in specific domains and languages. Extreme energy efficiency: A key advantage of Gemma 3 270M is its low power consumption. Internal tests on a Pixel 9 Pro SoC show the INT4-quantized model used just 0.75% of the battery for 25 conversations, making it our most power-efficient Gemma model. Instruction following: An instruction-tuned model is released alongside a pre-trained checkpoint. While this model is not designed for complex conversational use cases, it’s a strong model that follows general instructions right out of the box. Production-ready quantization: Quantization-Aware Trained (QAT) checkpoints are available, enabling you to run the models at INT4 precision with minimal performance degradation, which is essential for deploying on resource-constrained devices.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-25 16:29:40+00:00						Industry
Gemini-2.5-Flash-Lite	Google DeepMind	2025-06-15	Best for high volume, cost efficient tasks				Unspecified unreleased		Unknown	Introducing 2.5 Flash-Lite, a thinking model for those looking for low cost and latency.  Upgrade to Gemini 2.5 2.5 Flash-Lite excels at high-volume, latency-sensitive tasks like translation and classification.  Thinking, enabled Experience improved reasoning and output quality with thinking mode and thinking budgets.  Superior latency Benefit from faster response times.  Tool use Utilize key Gemini 2.5 features including tool uses like Search and code execution.  Cost-efficient 2.5 Flash-Lite is our most cost-efficient 2.5 model yet.			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:56:58+00:00						Industry
Gemini-2.5-Flash	Google DeepMind	2025-04-17	Our powerful and most efficient workhorse model designed for speed and low-cost.				Unspecified unreleased		Unknown	Speed and value at scale Ideal for tasks like summarization, chat applications, data extraction, and captioning. Thinking budget: Control how much 2.5 Flash reasons to balance latency and cost. Natively multimodal: Understands input across text, audio, images and video. Long context: Explore vast datasets with a 1-million token context window. Adaptive and budgeted thinking Adaptive controls and adjustable thinking budgets allow you to balance performance and cost. Calibrated: The model explores diverse thinking strategies, leading to more accurate and relevant outputs. Controllable: Developers have fine-grained control over the model's thinking process, allowing them to manage resource usage. Adaptive: When no thinking budget is set, the model assesses the complexity of a task and calibrates the amount of thinking accordingly.			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-04 05:11:23+00:00						Industry
Gemini-2.5-Pro	Google DeepMind	2025-03-25	Gemini 2.5: Our most intelligent AI model			Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.	Unspecified unreleased		Unknown	Gemini 2.5 Pro Experimental is our most advanced model for complex tasks. It tops the LMArena leaderboard — which measures human preferences — by a significant margin, indicating a highly capable model equipped with high-quality style. 2.5 Pro also shows strong reasoning and code capabilities, leading on common coding, math and science benchmarks.  Gemini 2.5 Pro is available now in Google AI Studio and in the Gemini app for Gemini Advanced users, and will be coming to Vertex AI soon. We’ll also introduce pricing in the coming weeks, enabling people to use 2.5 Pro with higher rate limits for scaled production use.			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-09-11 19:32:59+00:00						Industry
Gemma-3-27B	Google DeepMind	2025-03-12	Gemma 3 Technical Report 	27000000000	2.27E+24	6ND =  6 * 27B parameters * 14T training tokens = 2.268 × 10^24 FLOP	Unspecified unreleased		Confident	We introduce Gemma 3, a multimodal addition to the Gemma family of lightweight open models, ranging in scale from 1 to 27 billion parameters. This version introduces vision understanding abilities, a wider coverage of languages and longer context – at least 128K tokens. We also change the architecture of the model to reduce the KV-cache memory that tends to explode with long context. This is achieved by increasing the ratio of local to global attention layers, and keeping the span on local attention short. The Gemma 3 models are trained with distillation and achieve superior performance to Gemma 2 for both pre-trained and instruction finetuned versions. In particular, our novel post-training recipe significantly improves the math, chat, instruction-following and multilingual abilities, making Gemma3-4B-IT competitive with Gemma2-27B-IT and Gemma3-27B-IT comparable to Gemini-1.5-Pro across benchmarks. We release all our models to the community.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-01 16:23:42+00:00						Industry
Gemma-3-12B	Google DeepMind	2025-03-12	Gemma 3 Technical Report 	12000000000	8.64E+23	6ND = 6 * 12B parameters * 12T training tokens = 8.64 × 10^23 FLOP	Unspecified unreleased		Confident	We introduce Gemma 3, a multimodal addition to the Gemma family of lightweight open models, ranging in scale from 1 to 27 billion parameters. This version introduces vision understanding abilities, a wider coverage of languages and longer context – at least 128K tokens. We also change the architecture of the model to reduce the KV-cache memory that tends to explode with long context. This is achieved by increasing the ratio of local to global attention layers, and keeping the span on local attention short. The Gemma 3 models are trained with distillation and achieve superior performance to Gemma 2 for both pre-trained and instruction finetuned versions. In particular, our novel post-training recipe significantly improves the math, chat, instruction-following and multilingual abilities, making Gemma3-4B-IT competitive with Gemma2-27B-IT and Gemma3-27B-IT comparable to Gemini-1.5-Pro across benchmarks. We release all our models to the community.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-25 16:24:25+00:00						Industry
Gemma-3-4B	Google DeepMind	2025-03-12	Gemma 3 Technical Report 	4000000000	9.60E+22	6ND = 6 * 4B parameters * 4T training tokens = 9.6 × 10^22 FLOP	Unspecified unreleased		Confident	We introduce Gemma 3, a multimodal addition to the Gemma family of lightweight open models, ranging in scale from 1 to 27 billion parameters. This version introduces vision understanding abilities, a wider coverage of languages and longer context – at least 128K tokens. We also change the architecture of the model to reduce the KV-cache memory that tends to explode with long context. This is achieved by increasing the ratio of local to global attention layers, and keeping the span on local attention short. The Gemma 3 models are trained with distillation and achieve superior performance to Gemma 2 for both pre-trained and instruction finetuned versions. In particular, our novel post-training recipe significantly improves the math, chat, instruction-following and multilingual abilities, making Gemma3-4B-IT competitive with Gemma2-27B-IT and Gemma3-27B-IT comparable to Gemini-1.5-Pro across benchmarks. We release all our models to the community.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-25 16:24:24+00:00						Industry
Gemma-3-1B	Google DeepMind	2025-03-12	Gemma 3 Technical Report 	1000000000	1.20E+22	6ND = 6 * 1B parameters * 2T training tokens = 1.2 × 10^22 FLOP	Unspecified unreleased		Confident	We introduce Gemma 3, a multimodal addition to the Gemma family of lightweight open models, ranging in scale from 1 to 27 billion parameters. This version introduces vision understanding abilities, a wider coverage of languages and longer context – at least 128K tokens. We also change the architecture of the model to reduce the KV-cache memory that tends to explode with long context. This is achieved by increasing the ratio of local to global attention layers, and keeping the span on local attention short. The Gemma 3 models are trained with distillation and achieve superior performance to Gemma 2 for both pre-trained and instruction finetuned versions. In particular, our novel post-training recipe significantly improves the math, chat, instruction-following and multilingual abilities, making Gemma3-4B-IT competitive with Gemma2-27B-IT and Gemma3-27B-IT comparable to Gemini-1.5-Pro across benchmarks. We release all our models to the community.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-25 16:29:11+00:00						Industry
Gemini-2.0-Pro	Google DeepMind	2024-12-11	Our best model yet for coding performance and complex prompts			Flagship model from a leading developer in early 2025; very likely it used >1e25 FLOP.	Unspecified unreleased		Unknown	Today, we’re releasing an experimental version of Gemini 2.0 Pro that responds to that feedback. It has the strongest coding performance and ability to handle complex prompts, with better understanding and reasoning of world knowledge, than any model we’ve released so far. It comes with our largest context window at 2 million tokens, which enables it to comprehensively analyze and understand vast amounts of information, as well as the ability to call tools like Google Search and code execution.			Hosted access (no API)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-06-30 17:52:49+00:00						Industry
Gemma-2-9B	Google DeepMind	2024-06-24	Gemma 2 offers best-in-class performance, runs at incredible speed across different hardware and easily integrates with other AI tools.	9000000000	4.32E+23	"For the 9B model, we train on an 8x16x32 configuration of TPUv4, totaling 4096 chips"  6ND = 6 FLOP / token / parameter * 9000000000 parameters * 8000000000000 tokens = 4.32e+23 FLOP	Unspecified unreleased		Confident	Now we’re officially releasing Gemma 2 to researchers and developers globally. Available in both 9 billion (9B) and 27 billion (27B) parameter sizes, Gemma 2 is higher-performing and more efficient at inference than the first generation, with significant safety advancements built in. In fact, at 27B, it offers competitive alternatives to models more than twice its size, delivering the kind of performance that was only possible with proprietary models as recently as December. And that’s now achievable on a single NVIDIA H100 Tensor Core GPU or TPU host, significantly reducing deployment costs.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:22:24+00:00						Industry
Gemma 2-27B	Google DeepMind	2024-06-24	Gemma 2 offers best-in-class performance, runs at incredible speed across different hardware and easily integrates with other AI tools.	27000000000	2.11E+24	"For the 27B model, we train on an 8x24x32 configuration of TPUv5p, totaling 6144 chips"  trained on 13T tokens  6ND = 6*27000000000*13000000000000=2.106e+24	Unspecified unreleased		Confident	Now we’re officially releasing Gemma 2 to researchers and developers globally. Available in both 9 billion (9B) and 27 billion (27B) parameter sizes, Gemma 2 is higher-performing and more efficient at inference than the first generation, with significant safety advancements built in. In fact, at 27B, it offers competitive alternatives to models more than twice its size, delivering the kind of performance that was only possible with proprietary models as recently as December. And that’s now achievable on a single NVIDIA H100 Tensor Core GPU or TPU host, significantly reducing deployment costs.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:22:24+00:00						Industry
Gemma 2-2B	Google DeepMind	2024-06-24	Gemma 2 offers best-in-class performance, runs at incredible speed across different hardware and easily integrates with other AI tools.	2600000000	3.12E+22	"For the 2.6B model, we train on a 2x16x16 configuration of TPUv5e, totaling 512 chips"  6ND = 6 FLOP / token / parameter * 2600000000 parameters * 2000000000000 tokens = 3.12e+22 FLOP	Unspecified unreleased		Confident	Now we’re officially releasing Gemma 2 to researchers and developers globally. Available in both 9 billion (9B) and 27 billion (27B) parameter sizes, Gemma 2 is higher-performing and more efficient at inference than the first generation, with significant safety advancements built in. In fact, at 27B, it offers competitive alternatives to models more than twice its size, delivering the kind of performance that was only possible with proprietary models as recently as December. And that’s now achievable on a single NVIDIA H100 Tensor Core GPU or TPU host, significantly reducing deployment costs.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-05 19:36:19+00:00						Industry
Gemini-Flash-1.5 	Google DeepMind	2024-05-10	Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context			"Gemini 1.5 Flash is a dense Transformer based model that is online distilled [...] from Gemini 1.5 Pro."			Unknown	In this report, we introduce the Gemini 1.5 family of models, representing the next generation of highly compute-efficient multimodal models capable of recalling and reasoning over fine-grained information from millions of tokens of context, including multiple long documents and hours of video and audio. The family includes two new models: (1) an updated Gemini 1.5 Pro, which exceeds the February version on the great majority of capabilities and benchmarks; (2) Gemini 1.5 Flash, a more lightweight variant designed for efficiency with minimal regression in quality. Gemini 1.5 models achieve near-perfect recall on long-context retrieval tasks across modalities, improve the state-of-the-art in long-document QA, long-video QA and long-context ASR, and match or surpass Gemini 1.0 Ultra’s state-of-the-art performance across a broad set of benchmarks. Studying the limits of Gemini 1.5’s long-context ability, we find continued improvement in next-token prediction and near-perfect retrieval (>99%) up to at least 10M tokens, a generational leap over existing models such as Claude 3.0 (200k) and GPT-4 Turbo (128k). Finally, we highlight real-world use cases, such as Gemini 1.5 collaborating with professions on their completing their tasks achieving 26 to 75% time savings across 10 different job categories, as well as surprising new capabilities of large language models at the frontier; when given a grammar manual for Kalamang, a language with fewer than 200 speakers worldwide, the model learns to translate English to Kalamang at a similar level to a person who learned from the same content. 			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:22:24+00:00						Industry
Gemini-1.5-Flash-8B	Google DeepMind	2024-05-10	Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context	8000000000					Confident	In this report, we introduce the Gemini 1.5 family of models, representing the next generation of highly compute-efficient multimodal models capable of recalling and reasoning over fine-grained information from millions of tokens of context, including multiple long documents and hours of video and audio. The family includes two new models: (1) an updated Gemini 1.5 Pro, which exceeds the February version on the great majority of capabilities and benchmarks; (2) Gemini 1.5 Flash, a more lightweight variant designed for efficiency with minimal regression in quality. Gemini 1.5 models achieve near-perfect recall on long-context retrieval tasks across modalities, improve the state-of-the-art in long-document QA, long-video QA and long-context ASR, and match or surpass Gemini 1.0 Ultra’s state-of-the-art performance across a broad set of benchmarks. Studying the limits of Gemini 1.5’s long-context ability, we find continued improvement in next-token prediction and near-perfect retrieval (>99%) up to at least 10M tokens, a generational leap over existing models such as Claude 3.0 (200k) and GPT-4 Turbo (128k). Finally, we highlight real-world use cases, such as Gemini 1.5 collaborating with professions on their completing their tasks achieving 26 to 75% time savings across 10 different job categories, as well as surprising new capabilities of large language models at the frontier; when given a grammar manual for Kalamang, a language with fewer than 200 speakers worldwide, the model learns to translate English to Kalamang at a similar level to a person who learned from the same content. 			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-05-01 14:42:42+00:00						Industry
Gemini-pro-1.5	Google DeepMind	2024-02-15	Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context		1.58E+25	Training compute imputed from benchmark scores.	Unspecified unreleased		Speculative				API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-19 18:25:54+00:00						Industry
Gemini-2.0-Flash-Lite	Google DeepMind	2024-02-05	Gemini 2.0 Flash-Lite Model Card						Unknown	Description: Gemini 2.0 Flash-Lite is a member of the Gemini 2.0 series of models, a suite of highly-capable, natively multimodal models designed to power a new era of agentic systems. Gemini 2.0 Flash-Lite is Google’s most cost-efficient model, striking a balance between efficiency and quality targeting low-cost workflows. Inputs: Text strings (e.g., a question, a prompt, a document(s) to be summarized), images, audio, and video files, with a 1,048,576 token context window. Outputs: Text, with an 8,192 token output. Architecture: The Gemini 2.0 series builds upon the sparse Mixture-of-Experts (MoE) Transformer architecture (Clark et al., 2020; Fedus et al., 2021; Lepikhin et al., 2020; Riquelme et al., 2021; Shazeer et al., 2017; Zoph et al., 2022) used in Gemini 1.5. Key enhancements in Gemini 2.0 include refined architectural design and novel optimization methods, leading to substantial improvements in training stability and computational efficiency. Each model within the 2.0 family, including Gemini 2.0 Flash-Lite, is carefully designed and calibrated to achieve an optimal balance between quality and performance for their specific downstream applications.  			API access	United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational	2025-08-11 14:56:58+00:00						Industry
Gemma-3n	Google	2025-05-20	Announcing Gemma 3n preview: powerful, efficient, mobile-first AI	7850000000	5.18E+23	6 FLOP / parameter / token * 7.85 * 10^9 parameters * 11 * 10^12 tokens = 5.181e+23 FLOP	Unspecified unreleased		Confident	Following the exciting launches of Gemma 3 and Gemma 3 QAT, our family of state-of-the-art open models capable of running on a single cloud or desktop accelerator, we're pushing our vision for accessible AI even further. Gemma 3 delivered powerful capabilities for developers, and we're now extending that vision to highly capable, real-time AI operating directly on the devices you use every day – your phones, tablets, and laptops.  To power the next generation of on-device AI and support a diverse range of applications, including advancing the capabilities of Gemini Nano, we engineered a new, cutting-edge architecture. This next-generation foundation was created in close collaboration with mobile hardware leaders like Qualcomm Technologies, MediaTek, and Samsung's System LSI business, and is optimized for lightning-fast, multimodal AI, enabling truly personal and private experiences directly on your device.  Gemma 3n is our first open model built on this groundbreaking, shared architecture, allowing developers to begin experimenting with this technology today in an early preview. The same advanced architecture also powers the next generation of Gemini Nano, which brings these capabilities to a broad range of features in Google apps and our on-device ecosystem, and will become available later this year. Gemma 3n enables you to start building on this foundation that will come to major platforms such as Android and Chrome.			Open weights (restricted use)	United States of America,United Kingdom of Great Britain and Northern Ireland,Switzerland,Germany	2025-08-25 16:42:37+00:00						Industry
DeepSeek-R1-Distill-Llama-70B	DeepSeek	2025-01-22	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	70000000000		base model compute: 6.8649768e+24 FLOP fine tune compute: 2.016e+22 FLOP			Speculative	We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities. Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.	2		Open weights (unrestricted)	China	2025-08-05 19:08:20+00:00						Industry
DeepSeek-R1-Distill-Qwen-14B	DeepSeek	2025-01-22	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	14800000000					Speculative	We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities. Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.	2		Open weights (unrestricted)	China	2025-08-05 19:08:20+00:00						Industry
