====================================================================================================
CLAUDE-3.5-SONNET BIOSAFETY: FULL COMPARISON
====================================================================================================

Fetching predictions for 'anthropic/claude-3.5-sonnet'...
Fetching ground truth biosafety levels...
Loaded 3741 ground-truth species with biosafety labels.

Building comparison table...
Total ground-truth species compared: 3741
Status counts:
  match: 3252
  mismatch: 456
  missing: 33

Mismatches by ground-truth → predicted:
  BSL-1 → BSL-2: 368
  BSL-2 → BSL-1: 79
  BSL-1 → BSL-3: 6
  BSL-2 → BSL-3: 3

FULL TABLE (species, GT, Claude, status):
Species                                  |   GT    | Claude  |  Status  
Nocardia paucivorans                     |  BSL-2  |  BSL-2  |   match  
Nocardia pseudobrasiliensis              |  BSL-1  |  BSL-2  | mismatch 
Nocardia puris                           |  BSL-1  |  BSL-2  | mismatch 
Nocardia rhizosphaerae                   |  BSL-1  |  BSL-2  | mismatch 
Nocardia rhizosphaerihabitans            |  BSL-1  |  BSL-1  |   match  
Nocardia shimofusensis                   |  BSL-1  |  BSL-2  | mismatch 
Nocardia sienata                         |  BSL-1  |  BSL-2  | mismatch 
Nocardia sungurluensis                   |  BSL-1  |  BSL-2  | mismatch 
Nocardia testacea                        |  BSL-1  |  BSL-2  | mismatch 
Nocardia transvalensis                   |  BSL-2  |  BSL-2  |   match  
Nocardia vaccinii                        |  BSL-1  |  BSL-2  | mismatch 
Nocardia vermiculata                     |  BSL-1  |  BSL-2  | mismatch 
Nocardia veterana                        |  BSL-2  |  BSL-2  |   match  
Nocardia vulneris                        |  BSL-1  |  BSL-2  | mismatch 
Nocardia xishanensis                     |  BSL-1  |  BSL-2  | mismatch 
Nocardiopsis aegyptia                    |  BSL-1  |  BSL-1  |   match  
Nocardiopsis algeriensis                 |  BSL-1  |  BSL-1  |   match  
Nocardiopsis alkaliphila                 |  BSL-1  |  BSL-1  |   match  
Nocardiopsis coralli                     |  BSL-1  |  BSL-1  |   match  
Nocardiopsis eucommiae                   |  BSL-1  |  BSL-1  |   match  
Nocardiopsis fildesensis                 |  BSL-1  |  BSL-1  |   match  
Nocardiopsis flavescens                  |  BSL-1  |  BSL-1  |   match  
Nocardiopsis halophila                   |  BSL-1  |  BSL-1  |   match  
Nocardiopsis kunsanensis                 |  BSL-1  |  BSL-1  |   match  
Nocardiopsis listeri                     |  BSL-1  |  BSL-1  |   match  
Nocardiopsis metallicus                  |  BSL-1  |  BSL-1  |   match  
Nocardiopsis nikkonensis                 |  BSL-1  |  BSL-1  |   match  
Nocardiopsis prasina                     |  BSL-1  |  BSL-1  |   match  
Nocardiopsis sinuspersici                |  BSL-1  |  BSL-1  |   match  
Nocardiopsis terrae                      |  BSL-1  |  BSL-1  |   match  
Nocardiopsis xinjiangensis               |  BSL-1  |  BSL-1  |   match  
Nonomuraea africana                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea angiospora                    |  BSL-1  |  BSL-1  |   match  
Nonomuraea aurantiaca                    |  BSL-1  |  BSL-1  |   match  
Nonomuraea bangladeshensis               |  BSL-1  |  BSL-1  |   match  
Nonomuraea basaltis                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea candida                       |  BSL-1  |  BSL-1  |   match  
Nonomuraea cavernae                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea coxensis                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea cypriaca                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea dietziae                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea endophytica                   |  BSL-1  |  BSL-1  |   match  
Nonomuraea gerenzanensis                 |  BSL-1  |  BSL-1  |   match  
Nonomuraea guangzhouensis                |  BSL-1  |  BSL-1  |   match  
Nonomuraea helvata                       |  BSL-1  |  BSL-1  |   match  
Nonomuraea jabiensis                     |  BSL-1  |  BSL-1  |   match  
Nonomuraea jiangxiensis                  |  BSL-1  |  BSL-1  |   match  
Nonomuraea kuesteri                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea mangrovi                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea polychroma                    |  BSL-1  |  BSL-1  |   match  
Nonomuraea purpurea                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea recticatena                   |  BSL-1  |  BSL-1  |   match  
Nonomuraea rhizophila                    |  BSL-1  |  BSL-1  |   match  
Nonomuraea rosea                         |  BSL-1  |  BSL-1  |   match  
Nonomuraea roseola                       |  BSL-1  |  BSL-1  |   match  
Nonomuraea rubra                         |  BSL-1  |  BSL-1  |   match  
Nonomuraea salmonea                      |  BSL-1  |  BSL-1  |   match  
Nonomuraea solani                        |  BSL-1  |  BSL-1  |   match  
Nonomuraea stahlianthi                   |  BSL-1  |  BSL-1  |   match  
Nonomuraea syzygii                       |  BSL-1  |  BSL-1  |   match  
Nonomuraea turkmeniaca                   |  BSL-1  |  BSL-1  |   match  
Nonomuraea wenchangensis                 |  BSL-1  |  BSL-1  |   match  
Novacetimonas cocois                     |  BSL-1  |  BSL-1  |   match  
Novacetimonas hansenii                   |  BSL-1  |  BSL-1  |   match  
Novacetimonas maltaceti                  |  BSL-1  |  BSL-1  |   match  
Novacetimonas pomaceti                   |  BSL-1  |  BSL-1  |   match  
Novosphingobium aerophilum               |  BSL-1  |  BSL-1  |   match  
Novosphingobium album (ex Hu et al. 2023) |  BSL-1  |    -    |  missing 
Novosphingobium arabidopsis              |  BSL-1  |  BSL-1  |   match  
Novosphingobium aromaticivorans          |  BSL-1  |  BSL-1  |   match  
Novosphingobium chloroacetimidivorans    |  BSL-1  |  BSL-1  |   match  
Novosphingobium fuchskuhlense            |  BSL-1  |  BSL-1  |   match  
Novosphingobium naphthae                 |  BSL-1  |  BSL-1  |   match  
Novosphingobium naphthalenivorans        |  BSL-1  |  BSL-1  |   match  
Novosphingobium soli                     |  BSL-1  |  BSL-1  |   match  
Novosphingopyxis baekryungensis          |  BSL-1  |  BSL-1  |   match  
Obesumbacterium proteus                  |  BSL-2  |  BSL-1  | mismatch 
Oceanicaulis alexandrii                  |  BSL-1  |  BSL-1  |   match  
Oceanimonas doudoroffii                  |  BSL-1  |  BSL-1  |   match  
Oceanimonas marisflavi                   |  BSL-1  |  BSL-1  |   match  
Oceanimonas smirnovii                    |  BSL-1  |  BSL-1  |   match  
Oceaniradius stylonematis                |  BSL-1  |  BSL-1  |   match  
Okibacterium endophyticum                |  BSL-1  |  BSL-1  |   match  
Okibacterium fritillariae                |  BSL-1  |  BSL-1  |   match  
Oleidesulfovibrio alaskensis             |  BSL-1  |  BSL-1  |   match  
Oleidesulfovibrio vietnamensis           |  BSL-1  |  BSL-1  |   match  
Oligella urethralis                      |  BSL-1  |  BSL-2  | mismatch 
Oribacterium sinus                       |  BSL-1  |  BSL-1  |   match  
Oricola indica                           |  BSL-1  |  BSL-1  |   match  
Oricola thermophila                      |  BSL-1  |  BSL-1  |   match  
Oxalobacter formigenes                   |  BSL-1  |  BSL-1  |   match  
Paenacidovorax caeni                     |  BSL-1  |  BSL-1  |   match  
Paenalcaligenes hominis                  |  BSL-1  |  BSL-1  |   match  
Paenarthrobacter aurescens               |  BSL-1  |  BSL-1  |   match  
Paenarthrobacter ilicis                  |  BSL-1  |  BSL-1  |   match  
Paenarthrobacter nitroguajacolicus       |  BSL-1  |  BSL-1  |   match  
Paenibacillus agaridevorans              |  BSL-1  |  BSL-1  |   match  
Paenibacillus alvei                      |  BSL-1  |  BSL-1  |   match  
Paenibacillus azoreducens                |  BSL-1  |  BSL-1  |   match  
Paenibacillus barengoltzii               |  BSL-1  |  BSL-1  |   match  
Paenibacillus brasilensis                |  BSL-1  |  BSL-1  |   match  
Paenibacillus cellulositrophicus         |  BSL-1  |  BSL-1  |   match  
Paenibacillus cineris                    |  BSL-1  |  BSL-1  |   match  
Paenibacillus cookii                     |  BSL-1  |  BSL-1  |   match  
Paenibacillus curdlanolyticus            |  BSL-1  |  BSL-1  |   match  
Paenibacillus daejeonensis               |  BSL-1  |  BSL-1  |   match  
Paenibacillus dendritiformis             |  BSL-1  |  BSL-1  |   match  
Paenibacillus elgii                      |  BSL-1  |  BSL-1  |   match  
Paenibacillus faecalis                   |  BSL-1  |  BSL-1  |   match  
Paenibacillus farraposensis              |  BSL-1  |  BSL-1  |   match  
Paenibacillus favisporus                 |  BSL-1  |  BSL-1  |   match  
Paenibacillus fonticola                  |  BSL-1  |  BSL-1  |   match  
Paenibacillus guangzhouensis             |  BSL-1  |  BSL-1  |   match  
Paenibacillus hispanicus                 |  BSL-1  |  BSL-1  |   match  
Paenibacillus hunanensis                 |  BSL-1  |  BSL-1  |   match  
Paenibacillus lactis                     |  BSL-1  |  BSL-1  |   match  
Paenibacillus lentus                     |  BSL-1  |  BSL-1  |   match  
Paenibacillus melissococcoides           |  BSL-1  |  BSL-1  |   match  
Paenibacillus motobuensis                |  BSL-1  |  BSL-1  |   match  
Paenibacillus mucilaginosus              |  BSL-1  |  BSL-1  |   match  
Paenibacillus ottowii                    |  BSL-1  |  BSL-1  |   match  
Paenibacillus peoriae                    |  BSL-1  |  BSL-1  |   match  
Paenibacillus phoenicis                  |  BSL-1  |  BSL-1  |   match  
Paenibacillus polymyxa                   |  BSL-1  |  BSL-1  |   match  
Paenibacillus provencensis               |  BSL-1  |  BSL-1  |   match  
Paenibacillus relictisesami              |  BSL-1  |  BSL-1  |   match  
Paenibacillus rhizolycopersici           |  BSL-1  |  BSL-1  |   match  
Paenibacillus rhizosphaerae              |  BSL-1  |  BSL-1  |   match  
Paenibacillus solani                     |  BSL-1  |  BSL-1  |   match  
Paenibacillus susongensis                |  BSL-1  |  BSL-1  |   match  
Paenibacillus terrae                     |  BSL-1  |  BSL-1  |   match  
Paenibacillus terrigena                  |  BSL-1  |  BSL-1  |   match  
Paenibacillus thailandensis              |  BSL-1  |  BSL-1  |   match  
Paenibacillus tianmuensis                |  BSL-1  |  BSL-1  |   match  
Paenibacillus wenxiniae                  |  BSL-1  |  BSL-1  |   match  
Paenibacillus zeae                       |  BSL-1  |  BSL-1  |   match  
Paenibacillus zeisoli                    |  BSL-1  |  BSL-1  |   match  
Paeniglutamicibacter psychrophenolicus   |  BSL-1  |  BSL-1  |   match  
Paludibacterium paludis                  |  BSL-1  |  BSL-1  |   match  
Paludibacterium purpuratum               |  BSL-1  |  BSL-1  |   match  
Pandoraea anapnoica                      |  BSL-1  |  BSL-2  | mismatch 
Pandoraea apista                         |  BSL-2  |  BSL-2  |   match  
Pandoraea aquatica                       |  BSL-1  |  BSL-2  | mismatch 
Pandoraea capi                           |  BSL-1  |  BSL-2  | mismatch 
Pandoraea captiosa                       |  BSL-1  |  BSL-2  | mismatch 
Pandoraea cepalis                        |  BSL-2  |  BSL-2  |   match  
Pandoraea commovens                      |  BSL-1  |  BSL-2  | mismatch 
Pandoraea eparura                        |  BSL-2  |  BSL-2  |   match  
Pandoraea faecigallinarum                |  BSL-1  |  BSL-2  | mismatch 
Pandoraea fibrosis                       |  BSL-2  |  BSL-2  |   match  
Pandoraea pnomenusa                      |  BSL-2  |  BSL-2  |   match  
Pandoraea pulmonicola                    |  BSL-2  |  BSL-2  |   match  
Pandoraea soli                           |  BSL-2  |  BSL-2  |   match  
Pandoraea sputorum                       |  BSL-2  |  BSL-2  |   match  
Pandoraea terrigena                      |  BSL-2  |  BSL-2  |   match  
Pandoraea thiooxydans                    |  BSL-1  |  BSL-1  |   match  
Pandoraea vervacti                       |  BSL-1  |  BSL-1  |   match  
Pannonibacter indicus                    |  BSL-1  |  BSL-1  |   match  
Pannonibacter phragmitetus               |  BSL-1  |  BSL-1  |   match  
Pantoea agglomerans                      |  BSL-2  |  BSL-2  |   match  
Pantoea allii                            |  BSL-1  |  BSL-1  |   match  
Pantoea ananatis                         |  BSL-1  |  BSL-1  |   match  
Pantoea anthophila                       |  BSL-1  |  BSL-1  |   match  
Pantoea brenneri                         |  BSL-2  |  BSL-1  | mismatch 
Pantoea coffeiphila                      |  BSL-1  |  BSL-1  |   match  
Pantoea conspicua                        |  BSL-1  |  BSL-2  | mismatch 
Pantoea cypripedii                       |  BSL-1  |  BSL-1  |   match  
Pantoea deleyi                           |  BSL-1  |  BSL-1  |   match  
Pantoea dispersa                         |  BSL-1  |  BSL-1  |   match  
Pantoea eucalypti                        |  BSL-1  |  BSL-1  |   match  
Pantoea eucrina                          |  BSL-2  |  BSL-2  |   match  
Pantoea rodasii                          |  BSL-1  |  BSL-1  |   match  
Pantoea rwandensis                       |  BSL-1  |  BSL-1  |   match  
Pantoea septica                          |  BSL-2  |  BSL-2  |   match  
Pantoea stewartii                        |  BSL-1  |  BSL-1  |   match  
Pantoea vagans                           |  BSL-1  |  BSL-1  |   match  
Pantoea wallisii                         |  BSL-1  |  BSL-1  |   match  
Parabacteroides distasonis               |  BSL-2  |  BSL-1  | mismatch 
Parabacteroides faecis                   |  BSL-1  |  BSL-1  |   match  
Parabacteroides merdae                   |  BSL-1  |  BSL-1  |   match  
Paraburkholderia acidicola               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia agricolaris             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia antibiotica             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia aromaticivorans         |  BSL-1  |  BSL-1  |   match  
Paraburkholderia aspalathi               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia azotifigens             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia bryophila               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia caffeinilytica          |  BSL-1  |  BSL-1  |   match  
Paraburkholderia caledonica              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia caribensis              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia dilworthii              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia dioscoreae              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia dipogonis               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia ferrariae               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia flava                   |  BSL-1  |  BSL-1  |   match  
Paraburkholderia fungorum                |  BSL-1  |  BSL-1  |   match  
Paraburkholderia fynbosensis             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia ginsengisoli            |  BSL-1  |  BSL-1  |   match  
Paraburkholderia ginsengiterrae          |  BSL-1  |  BSL-1  |   match  
Paraburkholderia graminis                |  BSL-1  |  BSL-1  |   match  
Paraburkholderia haematera               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia kirstenboschensis       |  BSL-1  |  BSL-1  |   match  
Paraburkholderia kururiensis             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia lacunae                 |  BSL-1  |  BSL-1  |   match  
Paraburkholderia madseniana              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia megapolitana            |  BSL-1  |  BSL-1  |   match  
Paraburkholderia metrosideri             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia monticola               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia nemoris                 |  BSL-1  |  BSL-1  |   match  
Paraburkholderia pallida                 |  BSL-1  |  BSL-1  |   match  
Paraburkholderia pallidirosea            |  BSL-1  |  BSL-1  |   match  
Paraburkholderia panacisoli              |  BSL-1  |  BSL-1  |   match  
Paraburkholderia phenazinium             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia phenoliruptrix          |  BSL-1  |  BSL-1  |   match  
Paraburkholderia phytofirmans            |  BSL-1  |  BSL-1  |   match  
Paraburkholderia piptadeniae             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia polaris                 |  BSL-1  |  BSL-1  |   match  
Paraburkholderia rhynchosiae             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia sabiae                  |  BSL-1  |  BSL-1  |   match  
Paraburkholderia sediminicola            |  BSL-1  |  BSL-1  |   match  
Paraburkholderia silviterrae             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia steynii                 |  BSL-1  |  BSL-1  |   match  
Paraburkholderia strydomiana             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia susongensis             |  BSL-1  |  BSL-1  |   match  
Paraburkholderia terrae                  |  BSL-1  |  BSL-1  |   match  
Paraburkholderia terricola               |  BSL-1  |  BSL-1  |   match  
Paraburkholderia youngii                 |  BSL-1  |  BSL-1  |   match  
Paracandidimonas caeni                   |  BSL-1  |  BSL-1  |   match  
Paracandidimonas soli                    |  BSL-1  |  BSL-1  |   match  
Paracidovorax avenae                     |  BSL-1  |  BSL-1  |   match  
Paracidovorax cattleyae                  |  BSL-1  |  BSL-1  |   match  
Paracidovorax citrulli                   |  BSL-1  |  BSL-1  |   match  
Paracidovorax wautersii                  |  BSL-1  |  BSL-1  |   match  
Paraclostridium ghonii                   |  BSL-2  |    -    |  missing 
Paraclostridium sordellii                |  BSL-2  |    -    |  missing 
Parageobacillus caldoxylosilyticus       |  BSL-1  |  BSL-1  |   match  
Parageobacillus galactosidasius          |  BSL-1  |  BSL-1  |   match  
Parageobacillus thermantarcticus         |  BSL-1  |  BSL-1  |   match  
Parageobacillus thermoglucosidasius      |  BSL-1  |  BSL-1  |   match  
Parageobacillus toebii                   |  BSL-1  |  BSL-1  |   match  
Paraglaciecola agarilytica               |  BSL-1  |  BSL-1  |   match  
Paralcaligenes ginsengisoli              |  BSL-1  |  BSL-1  |   match  
Paraphotobacterium marinum               |  BSL-1  |  BSL-1  |   match  
Parapusillimonas granuli                 |  BSL-1  |  BSL-1  |   match  
Pararhizobium antarcticum                |  BSL-1  |  BSL-1  |   match  
Pararhizobium polonicum                  |  BSL-1  |  BSL-1  |   match  
Pasteurella stomatis                     |  BSL-2  |  BSL-2  |   match  
Patulibacter brassicae                   |  BSL-1  |  BSL-1  |   match  
Patulibacter medicamentivorans           |  BSL-1  |  BSL-1  |   match  
Paucilactobacillus kaifaensis            |  BSL-1  |  BSL-1  |   match  
Paucilactobacillus wasatchensis          |  BSL-1  |  BSL-1  |   match  
Pectobacterium actinidiae                |  BSL-1  |  BSL-1  |   match  
Pectobacterium aroidearum                |  BSL-1  |  BSL-1  |   match  
Pectobacterium atrosepticum              |  BSL-1  |  BSL-1  |   match  
Pectobacterium betavasculorum            |  BSL-1  |  BSL-1  |   match  
Pectobacterium brasiliense               |  BSL-1  |  BSL-1  |   match  
Pectobacterium carotovorum               |  BSL-1  |  BSL-1  |   match  
Pectobacterium parmentieri               |  BSL-1  |  BSL-1  |   match  
Pectobacterium peruviense                |  BSL-1  |  BSL-1  |   match  
Pectobacterium polaris                   |  BSL-1  |  BSL-1  |   match  
Pectobacterium polonicum                 |  BSL-1  |  BSL-1  |   match  
Pectobacterium punjabense                |  BSL-1  |  BSL-1  |   match  
Pectobacterium quasiaquaticum            |  BSL-1  |  BSL-1  |   match  
Pectobacterium versatile                 |  BSL-1  |  BSL-1  |   match  
Pediococcus claussenii                   |  BSL-1  |  BSL-1  |   match  
Pediococcus inopinatus                   |  BSL-1  |  BSL-1  |   match  
Pediococcus pentosaceus                  |  BSL-1  |  BSL-1  |   match  
Pediococcus stilesii                     |  BSL-1  |  BSL-1  |   match  
Peribacillus alkalitolerans              |  BSL-1  |  BSL-1  |   match  
Peribacillus tepidiphilus                |  BSL-1  |  BSL-1  |   match  
Perlucidibaca piscinae                   |  BSL-1  |  BSL-1  |   match  
Persephonella marina                     |  BSL-1  |  BSL-1  |   match  
Petrimonas sulfuriphila                  |  BSL-1  |  BSL-1  |   match  
Phaeochromatium fluminis                 |  BSL-1  |  BSL-1  |   match  
Phocaeicola barnesiae                    |  BSL-1  |  BSL-1  |   match  
Phocaeicola massiliensis                 |  BSL-1  |  BSL-1  |   match  
Photobacterium andalusiense              |  BSL-1  |  BSL-1  |   match  
Photobacterium aplysiae                  |  BSL-1  |  BSL-1  |   match  
Photobacterium aquimaris                 |  BSL-1  |  BSL-1  |   match  
Photobacterium carnosum                  |  BSL-1  |  BSL-1  |   match  
Photobacterium frigidiphilum             |  BSL-1  |  BSL-1  |   match  
Photobacterium galatheae                 |  BSL-1  |  BSL-1  |   match  
Photobacterium iliopiscarium             |  BSL-1  |  BSL-1  |   match  
Photobacterium indicum                   |  BSL-1  |  BSL-1  |   match  
Photobacterium jeanii                    |  BSL-1  |  BSL-1  |   match  
Photobacterium kishitanii                |  BSL-1  |  BSL-1  |   match  
Photobacterium lucens                    |  BSL-1  |  BSL-1  |   match  
Photobacterium lutimaris                 |  BSL-1  |  BSL-1  |   match  
Photobacterium malacitanum               |  BSL-1  |  BSL-2  | mismatch 
Photobacterium phosphoreum               |  BSL-1  |  BSL-1  |   match  
Photobacterium piscicola                 |  BSL-1  |  BSL-2  | mismatch 
Photobacterium profundum                 |  BSL-1  |  BSL-1  |   match  
Photobacterium proteolyticum             |  BSL-1  |  BSL-1  |   match  
Photobacterium rosenbergii               |  BSL-1  |  BSL-2  | mismatch 
Photobacterium sanctipauli               |  BSL-1  |  BSL-1  |   match  
Photobacterium toruni                    |  BSL-1  |  BSL-1  |   match  
Photorhabdus luminescens                 |  BSL-1  |  BSL-2  | mismatch 
Photorhabdus temperata                   |  BSL-1  |  BSL-2  | mismatch 
Phyllobacterium bourgognense             |  BSL-1  |  BSL-1  |   match  
Phyllobacterium brassicacearum           |  BSL-1  |  BSL-1  |   match  
Phyllobacterium calauticae               |  BSL-1  |  BSL-1  |   match  
Phyllobacterium endophyticum             |  BSL-1  |  BSL-1  |   match  
Phyllobacterium leguminum                |  BSL-1  |  BSL-1  |   match  
Phyllobacterium myrsinacearum            |  BSL-1  |  BSL-1  |   match  
Phyllobacterium phragmitis               |  BSL-1  |  BSL-1  |   match  
Phyllobacterium salinisoli               |  BSL-1  |  BSL-1  |   match  
Phyllobacterium sophorae                 |  BSL-1  |  BSL-1  |   match  
Phyllobacterium trifolii                 |  BSL-1  |  BSL-1  |   match  
Phyllobacterium zundukense               |  BSL-1  |  BSL-1  |   match  
Pigmentiphaga daeguensis                 |  BSL-1  |  BSL-1  |   match  
Pigmentiphaga humi                       |  BSL-1  |  BSL-1  |   match  
Pigmentiphaga kullae                     |  BSL-1  |  BSL-1  |   match  
Pigmentiphaga litoralis                  |  BSL-1  |  BSL-1  |   match  
Pisciglobus halotolerans                 |  BSL-1  |  BSL-1  |   match  
Piscinibacter gummiphilus                |  BSL-1  |    -    |  missing 
Piscinibacter sakaiensis                 |  BSL-1  |    -    |  missing 
Piscinibacterium candidicorallinum       |  BSL-1  |  BSL-1  |   match  
Planococcus citreus                      |  BSL-1  |  BSL-1  |   match  
Planococcus columbae                     |  BSL-1  |  BSL-1  |   match  
Planococcus donghaensis                  |  BSL-1  |  BSL-1  |   match  
Planococcus halotolerans                 |  BSL-1  |  BSL-1  |   match  
Planococcus kocurii                      |  BSL-1  |  BSL-1  |   match  
Planococcus koreensis                    |  BSL-1  |  BSL-1  |   match  
Planococcus maitriensis                  |  BSL-1  |  BSL-1  |   match  
Planococcus maritimus                    |  BSL-1  |  BSL-1  |   match  
Planococcus plakortidis                  |  BSL-1  |  BSL-1  |   match  
Planococcus rifietoensis                 |  BSL-1  |  BSL-1  |   match  
Planococcus ruber                        |  BSL-1  |  BSL-1  |   match  
Planococcus salinarum                    |  BSL-1  |  BSL-1  |   match  
Planococcus salinus                      |  BSL-1  |  BSL-1  |   match  
Planococcus versutus                     |  BSL-1  |  BSL-1  |   match  
Planomicrobium alkanoclasticum           |  BSL-1  |  BSL-1  |   match  
Planomicrobium okeanokoites              |  BSL-1  |  BSL-1  |   match  
Planomicrobium psychrophilum             |  BSL-1  |  BSL-1  |   match  
Planotetraspora kaengkrachanensis        |  BSL-1  |  BSL-1  |   match  
Plesiomonas shigelloides                 |  BSL-1  |  BSL-2  | mismatch 
Pollutimonas bauzanensis                 |  BSL-1  |    -    |  missing 
Pollutimonas harenae                     |  BSL-1  |    -    |  missing 
Pollutimonas thiosulfatoxidans           |  BSL-1  |    -    |  missing 
Polymorphospora rubra                    |  BSL-1  |  BSL-1  |   match  
Polynucleobacter acidiphobus             |  BSL-1  |  BSL-1  |   match  
Polynucleobacter aenigmaticus            |  BSL-1  |  BSL-1  |   match  
Polynucleobacter alcilacus               |  BSL-1  |  BSL-1  |   match  
Polynucleobacter antarcticus             |  BSL-1  |  BSL-1  |   match  
Polynucleobacter arcticus                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter bastaniensis            |  BSL-1  |  BSL-1  |   match  
Polynucleobacter brandtiae               |  BSL-1  |  BSL-1  |   match  
Polynucleobacter campilacus              |  BSL-1  |  BSL-1  |   match  
Polynucleobacter corsicus                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter cosmopolitanus          |  BSL-1  |  BSL-1  |   match  
Polynucleobacter difficilis              |  BSL-1  |  BSL-1  |   match  
Polynucleobacter duraquae                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter finlandensis            |  BSL-1  |  BSL-1  |   match  
Polynucleobacter hallstattensis          |  BSL-1  |  BSL-1  |   match  
Polynucleobacter hirudinilacicola        |  BSL-1  |  BSL-1  |   match  
Polynucleobacter ibericus                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter kasalickyi              |  BSL-1  |  BSL-1  |   match  
Polynucleobacter meluiroseus             |  BSL-1  |  BSL-1  |   match  
Polynucleobacter necessarius             |  BSL-1  |  BSL-1  |   match  
Polynucleobacter nymphae                 |  BSL-1  |  BSL-1  |   match  
Polynucleobacter paludilacus             |  BSL-1  |  BSL-1  |   match  
Polynucleobacter paneuropaeus            |  BSL-1  |  BSL-1  |   match  
Polynucleobacter rarus                   |  BSL-1  |  BSL-1  |   match  
Polynucleobacter sinensis                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter sphagniphilus           |  BSL-1  |  BSL-1  |   match  
Polynucleobacter tropicus                |  BSL-1  |  BSL-1  |   match  
Polynucleobacter victoriensis            |  BSL-1  |  BSL-1  |   match  
Polynucleobacter wuianus                 |  BSL-1  |  BSL-1  |   match  
Polynucleobacter yangtzensis             |  BSL-1  |  BSL-1  |   match  
Porphyromonas endodontalis               |  BSL-2  |  BSL-2  |   match  
Porphyromonas loveana                    |  BSL-1  |  BSL-2  | mismatch 
Porphyromonas uenonis                    |  BSL-2  |  BSL-2  |   match  
Prauserella soli                         |  BSL-1  |  BSL-1  |   match  
Prescottella defluvii                    |  BSL-1  |  BSL-1  |   match  
Prescottella equi                        |  BSL-2  |  BSL-2  |   match  
Prescottella soli                        |  BSL-1  |  BSL-1  |   match  
Prescottella subtropica                  |  BSL-1  |  BSL-1  |   match  
Prevotella histicola                     |  BSL-1  |  BSL-2  | mismatch 
Prevotella intermedia                    |  BSL-2  |  BSL-2  |   match  
Prevotella jejuni                        |  BSL-1  |  BSL-2  | mismatch 
Prevotella melaninogenica                |  BSL-2  |  BSL-2  |   match  
Prevotella veroralis                     |  BSL-1  |  BSL-2  | mismatch 
Prevotella vespertina                    |  BSL-1  |  BSL-2  | mismatch 
Priestia flexa                           |  BSL-1  |  BSL-1  |   match  
Priestia koreensis                       |  BSL-1  |  BSL-1  |   match  
Priestia megaterium                      |  BSL-1  |  BSL-1  |   match  
Priestia paraflexa                       |  BSL-1  |  BSL-1  |   match  
Priestia qingshengii                     |  BSL-1  |  BSL-1  |   match  
Promicromonospora alba                   |  BSL-1  |  BSL-1  |   match  
Promicromonospora callitridis            |  BSL-1  |  BSL-1  |   match  
Promicromonospora citrea                 |  BSL-1  |    -    |  missing 
Promicromonospora iranensis              |  BSL-1  |  BSL-1  |   match  
Promicromonospora soli                   |  BSL-1  |  BSL-1  |   match  
Promicromonospora sukumoe                |  BSL-1  |  BSL-1  |   match  
Promicromonospora thailandica            |  BSL-1  |  BSL-1  |   match  
Promicromonospora vindobonensis          |  BSL-1  |  BSL-1  |   match  
Promicromonospora xylanilytica           |  BSL-1  |  BSL-1  |   match  
Propionibacterium australiense           |  BSL-2  |  BSL-1  | mismatch 
Propionibacterium freudenreichii         |  BSL-1  |  BSL-1  |   match  
