binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
nocardiopsis aegyptia,limited,limited,limited,limited,limited,moderate,moderate,moderate,moderate,limited,NA
nocardiopsis algeriensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
nocardiopsis alkaliphila,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,limited,NA,limited
nocardiopsis coralli,limited,limited,limited,moderate,limited,limited,limited,limited,limited,limited,NA
nocardiopsis eucommiae,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
nocardiopsis fildesensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
nocardiopsis flavescens,limited,moderate,limited,moderate,moderate,limited,moderate,moderate,limited,NA,limited
nocardiopsis halophila,limited,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,limited
nocardiopsis kunsanensis,limited,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,limited
nocardiopsis listeri,limited,moderate,limited,limited,limited,limited,NA,moderate,limited,NA,NA
nocardiopsis metallicus,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,NA,NA
nocardiopsis nikkonensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,NA
nocardiopsis prasina,limited,moderate,limited,limited,moderate,limited,moderate,moderate,moderate,NA,limited
nocardiopsis sinuspersici,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,limited
nocardiopsis terrae,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,limited,limited
nocardiopsis xinjiangensis,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,NA,limited
nonomuraea africana,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited,limited
nonomuraea angiospora,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
nonomuraea aurantiaca,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,limited,limited
nonomuraea bangladeshensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
nonomuraea basaltis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,limited
nonomuraea candida,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,NA
nonomuraea cavernae,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
nonomuraea coxensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
nonomuraea cypriaca,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
nonomuraea dietziae,limited,limited,limited,limited,limited,NA,NA,moderate,NA,NA,limited
nonomuraea endophytica,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
nonomuraea gerenzanensis,limited,limited,moderate,moderate,moderate,limited,moderate,extensive,moderate,limited,moderate
nonomuraea guangzhouensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
nonomuraea helvata,limited,limited,limited,moderate,limited,limited,moderate,NA,limited,limited,NA
nonomuraea jabiensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
nonomuraea jiangxiensis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited,limited
nonomuraea kuesteri,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
nonomuraea mangrovi,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
nonomuraea polychroma,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA
nonomuraea purpurea,limited,limited,limited,moderate,limited,limited,moderate,extensive,limited,limited,NA
nonomuraea recticatena,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
nonomuraea rhizophila,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
nonomuraea rosea,limited,limited,limited,moderate,limited,limited,moderate,NA,limited,limited,NA
nonomuraea roseola,limited,limited,limited,moderate,limited,NA,moderate,NA,moderate,limited,NA
nonomuraea rubra,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
nonomuraea salmonea,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
nonomuraea solani,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
nonomuraea stahlianthi,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,NA
nonomuraea syzygii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
nonomuraea turkmeniaca,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
nonomuraea wenchangensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
novacetimonas cocois,limited,limited,limited,NA,limited,limited,NA,NA,limited,NA,NA
novacetimonas hansenii,limited,limited,limited,limited,limited,extensive,NA,moderate,extensive,NA,limited
novacetimonas maltaceti,limited,limited,limited,NA,limited,NA,NA,NA,NA,limited,limited
novacetimonas pomaceti,limited,limited,limited,NA,limited,limited,NA,NA,NA,limited,NA
novosphingobium aerophilum,limited,limited,limited,limited,limited,NA,NA,moderate,NA,NA,limited
novosphingobium album,limited,moderate,limited,moderate,limited,limited,moderate,moderate,NA,limited,NA
novosphingobium arabidopsis,limited,limited,limited,limited,NA,limited,limited,moderate,limited,NA,NA
novosphingobium aromaticivorans,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive,extensive,moderate,moderate
novosphingobium chloroacetimidivorans,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited,limited
novosphingobium fuchskuhlense,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
novosphingobium naphthae,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,NA,limited
novosphingobium naphthalenivorans,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
novosphingobium pentaromativorans,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
novosphingobium soli,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
novosphingopyxis baekryungensis,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited
obesumbacterium proteus,limited,moderate,limited,limited,limited,NA,limited,NA,limited,NA,NA
oceanicaulis alexandrii,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
oceanimonas doudoroffii,limited,limited,moderate,moderate,limited,moderate,limited,moderate,limited,NA,limited
oceanimonas marisflavi,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
oceanimonas smirnovii,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
oceaniradius stylonematis,limited,limited,limited,NA,limited,NA,NA,NA,limited,NA,NA
okibacterium endophyticum,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
okibacterium fritillariae,limited,limited,limited,NA,limited,limited,limited,NA,limited,limited,limited
oleidesulfovibrio alaskensis,limited,limited,limited,limited,limited,NA,NA,extensive,extensive,NA,NA
oleidesulfovibrio vietnamensis,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA,NA
oligella urethralis,moderate,moderate,moderate,moderate,moderate,limited,limited,extensive,limited,limited,limited
oribacterium sinus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
oricola indica,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA,NA
oricola thermophila,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA,NA
owenweeksia hongkongensis,limited,moderate,limited,limited,,limited,limited,limited,moderate,limited,limited
oxalobacter formigenes,moderate,extensive,moderate,moderate,extensive,extensive,moderate,extensive,moderate,moderate,extensive
paenacidovorax caeni,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
paenalcaligenes hominis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
paenarthrobacter aurescens,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate
paenarthrobacter ilicis,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,NA
paenarthrobacter nitroguajacolicus,limited,limited,moderate,limited,limited,,moderate,moderate,moderate,limited,NA
paenibacillus agaridevorans,limited,limited,limited,limited,limited,,limited,moderate,limited,limited,limited
paenibacillus alvei,moderate,extensive,moderate,moderate,extensive,extensive,moderate,extensive,moderate,NA,limited
paenibacillus azoreducens,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
paenibacillus barengoltzii,limited,limited,limited,moderate,limited,limited,moderate,limited,limited,limited,NA
paenibacillus brasilensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
paenibacillus cellulositrophicus,limited,limited,limited,limited,moderate,moderate,moderate,moderate,limited,limited,NA
paenibacillus cineris,limited,limited,limited,limited,moderate,limited,limited,moderate,limited,NA,NA
paenibacillus cookii,limited,limited,limited,limited,moderate,limited,moderate,NA,limited,NA,NA
paenibacillus curdlanolyticus,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,limited
paenibacillus daejeonensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
paenibacillus dendritiformis,moderate,limited,moderate,moderate,limited,extensive,moderate,extensive,moderate,limited,moderate
paenibacillus elgii,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate
paenibacillus faecalis,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,limited,NA
paenibacillus farraposensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
paenibacillus favisporus,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
paenibacillus fonticola,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,NA,NA
paenibacillus guangzhouensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
paenibacillus hispanicus,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
paenibacillus hunanensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
paenibacillus lactis,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,NA
paenibacillus lentus,moderate,moderate,limited,moderate,moderate,limited,moderate,moderate,limited,moderate,limited
paenibacillus melissococcoides,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA,NA
paenibacillus motobuensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
paenibacillus mucilaginosus,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,moderate
paenibacillus ottowii,limited,limited,limited,limited,moderate,limited,limited,moderate,limited,NA,limited
paenibacillus peoriae,moderate,moderate,limited,moderate,limited,moderate,moderate,extensive,extensive,limited,moderate
paenibacillus phoenicis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,NA
paenibacillus polymyxa,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
paenibacillus provencensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
paenibacillus relictisesami,limited,limited,limited,NA,NA,NA,NA,limited,limited,limited,NA
paenibacillus rhizolycopersici,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
paenibacillus rhizosphaerae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
paenibacillus solani,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
paenibacillus susongensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
paenibacillus terrae,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
paenibacillus terrigena,limited,limited,limited,limited,limited,limited,moderate,extensive,NA,NA,NA
paenibacillus thailandensis,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,limited,NA
paenibacillus tianmuensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
paenibacillus wenxiniae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
paenibacillus zeae,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,limited,limited
paenibacillus zeisoli,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA,NA
paeniclostridium ghonii,limited,limited,NA,limited,limited,NA,limited,NA,limited,NA,NA
paeniclostridium sordellii,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
paeniglutamicibacter psychrophenolicus,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
paludibacterium paludis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
paludibacterium purpuratum,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA,NA
pandoraea anapnoica,limited,limited,limited,limited,moderate,NA,moderate,moderate,limited,limited,NA
pandoraea apista,limited,limited,limited,moderate,,moderate,moderate,moderate,moderate,limited,limited
pandoraea aquatica,limited,limited,limited,moderate,NA,limited,moderate,moderate,limited,limited,limited
pandoraea capi,limited,limited,limited,moderate,NA,NA,NA,limited,NA,limited,NA
pandoraea captiosa,limited,limited,limited,limited,moderate,NA,moderate,limited,limited,limited,limited
pandoraea cepalis,limited,limited,limited,moderate,NA,limited,NA,limited,NA,limited,NA
pandoraea commovens,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited,NA
pandoraea eparura,limited,limited,limited,limited,limited,NA,NA,limited,NA,limited,NA
pandoraea faecigallinarum,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
pandoraea fibrosis,limited,limited,limited,NA,NA,NA,NA,moderate,NA,limited,NA
pandoraea pnomenusa,limited,limited,moderate,moderate,limited,moderate,NA,moderate,moderate,limited,moderate
pandoraea pulmonicola,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
pandoraea soli,limited,moderate,limited,limited,limited,limited,moderate,limited,limited,limited,limited
pandoraea sputorum,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,moderate
pandoraea terrigena,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
pandoraea thiooxydans,limited,moderate,limited,limited,limited,,moderate,moderate,limited,limited,limited
pandoraea vervacti,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA,NA
pannonibacter indicus,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
pannonibacter phragmitetus,limited,limited,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,limited
pantoea agglomerans,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,extensive
pantoea allii,limited,moderate,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
pantoea ananatis,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
pantoea anthophila,moderate,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,limited,limited
pantoea brenneri,limited,moderate,limited,moderate,limited,limited,moderate,limited,limited,NA,NA
pantoea coffeiphila,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
pantoea conspicua,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
pantoea cypripedii,limited,moderate,limited,moderate,limited,limited,limited,NA,moderate,NA,NA
pantoea deleyi,limited,moderate,limited,limited,limited,limited,moderate,NA,NA,NA,NA
pantoea dispersa,moderate,extensive,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pantoea eucalypti,limited,moderate,limited,moderate,limited,moderate,moderate,extensive,moderate,limited,moderate
pantoea eucrina,limited,limited,limited,limited,moderate,limited,moderate,moderate,limited,NA,NA
pantoea rodasii,limited,moderate,limited,limited,limited,limited,limited,moderate,limited,limited,NA
pantoea rwandensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
pantoea septica,limited,moderate,limited,limited,limited,limited,NA,moderate,limited,limited,limited
pantoea stewartii,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
pantoea vagans,moderate,extensive,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive
pantoea wallisii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
parabacteroides distasonis,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
parabacteroides faecis,limited,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,moderate
parabacteroides merdae,moderate,extensive,moderate,moderate,moderate,extensive,extensive,extensive,moderate,moderate,moderate
paraburkholderia acidicola,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,NA
paraburkholderia agricolaris,limited,limited,limited,moderate,limited,moderate,NA,moderate,limited,NA,moderate
paraburkholderia antibiotica,limited,limited,limited,moderate,limited,NA,moderate,moderate,limited,NA,NA
paraburkholderia aromaticivorans,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,NA
paraburkholderia aspalathi,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
paraburkholderia azotifigens,limited,limited,moderate,moderate,NA,moderate,moderate,moderate,limited,NA,NA
paraburkholderia bryophila,limited,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,NA,limited
paraburkholderia caffeinilytica,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
paraburkholderia caledonica,limited,limited,limited,moderate,limited,,moderate,moderate,moderate,NA,limited
paraburkholderia caribensis,limited,moderate,limited,moderate,limited,limited,moderate,moderate,moderate,NA,limited
paraburkholderia dilworthii,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
paraburkholderia dioscoreae,limited,limited,limited,limited,moderate,moderate,moderate,moderate,limited,NA,limited
paraburkholderia dipogonis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
paraburkholderia ferrariae,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,limited
paraburkholderia flava,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
paraburkholderia fungorum,limited,limited,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
paraburkholderia fynbosensis,limited,limited,moderate,limited,limited,limited,limited,moderate,limited,limited,limited
paraburkholderia ginsengisoli,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
paraburkholderia ginsengiterrae,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
paraburkholderia graminis,limited,extensive,moderate,moderate,limited,limited,moderate,moderate,moderate,NA,limited
paraburkholderia haematera,limited,NA,limited,limited,NA,NA,moderate,moderate,NA,NA,NA
paraburkholderia kirstenboschensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
paraburkholderia kururiensis,limited,moderate,moderate,moderate,limited,moderate,moderate,extensive,moderate,limited,limited
paraburkholderia lacunae,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
paraburkholderia madseniana,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,NA
paraburkholderia megapolitana,limited,limited,limited,limited,moderate,limited,NA,moderate,limited,NA,NA
paraburkholderia metrosideri,limited,limited,limited,moderate,limited,limited,limited,NA,limited,NA,limited
paraburkholderia monticola,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,limited
paraburkholderia nemoris,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,limited,NA
paraburkholderia pallida,limited,extensive,limited,moderate,limited,moderate,limited,moderate,NA,NA,NA
paraburkholderia pallidirosea,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
paraburkholderia panacisoli,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,
paraburkholderia phenazinium,limited,limited,limited,moderate,NA,limited,moderate,moderate,limited,NA,NA
paraburkholderia phenoliruptrix,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
paraburkholderia phytofirmans,moderate,extensive,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate,extensive
paraburkholderia piptadeniae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
paraburkholderia polaris,limited,NA,limited,moderate,limited,limited,limited,moderate,NA,limited,limited
paraburkholderia rhynchosiae,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
paraburkholderia sabiae,limited,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,NA,limited
paraburkholderia sediminicola,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,limited,limited
paraburkholderia silviterrae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
paraburkholderia steynii,limited,moderate,limited,moderate,moderate,limited,limited,limited,limited,limited,NA
paraburkholderia strydomiana,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,NA
paraburkholderia susongensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
paraburkholderia terrae,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
paraburkholderia terricola,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,NA,limited
paraburkholderia youngii,limited,limited,limited,moderate,limited,limited,limited,NA,NA,NA,NA
paracandidimonas caeni,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
paracandidimonas soli,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
paracidovorax avenae,moderate,limited,moderate,NA,moderate,extensive,NA,moderate,extensive,NA,moderate
paracidovorax cattleyae,moderate,limited,limited,limited,limited,limited,NA,limited,moderate,NA,limited
paracidovorax citrulli,extensive,limited,moderate,moderate,limited,NA,NA,moderate,extensive,NA,NA
paracidovorax wautersii,limited,limited,limited,limited,limited,limited,NA,NA,NA,NA,limited
parageobacillus caldoxylosilyticus,limited,limited,moderate,limited,limited,limited,moderate,moderate,moderate,NA,limited
parageobacillus galactosidasius,limited,limited,limited,limited,moderate,moderate,NA,moderate,NA,NA,limited
parageobacillus thermantarcticus,limited,limited,moderate,moderate,limited,moderate,moderate,extensive,moderate,limited,moderate
parageobacillus thermoglucosidasius,moderate,moderate,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
parageobacillus toebii,limited,limited,moderate,moderate,limited,,limited,extensive,moderate,limited,moderate
paraglaciecola agarilytica,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,NA,limited
paraglaciecola oceanifecundans,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited,limited
paralcaligenes ginsengisoli,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
paraphotobacterium marinum,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA,NA
parapusillimonas granuli,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
pararhizobium antarcticum,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
pararhizobium polonicum,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,limited
pasteurella multocida,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
pasteurella stomatis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
patulibacter brassicae,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
patulibacter medicamentivorans,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA
paucilactobacillus kaifaensis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA
paucilactobacillus wasatchensis,limited,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,moderate
pectobacterium actinidiae,limited,extensive,limited,moderate,extensive,moderate,moderate,moderate,NA,moderate,moderate
pectobacterium aroidearum,limited,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
pectobacterium atrosepticum,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
pectobacterium betavasculorum,moderate,extensive,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
pectobacterium brasiliense,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive
pectobacterium carotovorum,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
pectobacterium parmentieri,moderate,extensive,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate,moderate
pectobacterium peruviense,limited,moderate,limited,limited,moderate,limited,moderate,moderate,moderate,NA,limited
pectobacterium polaris,limited,limited,moderate,moderate,limited,limited,moderate,moderate,moderate,limited,limited
pectobacterium polonicum,limited,moderate,limited,limited,limited,moderate,moderate,limited,limited,limited,NA
pectobacterium punjabense,limited,limited,limited,limited,limited,moderate,limited,moderate,moderate,limited,limited
pectobacterium quasiaquaticum,limited,limited,limited,limited,limited,,NA,NA,limited,limited,limited
pectobacterium versatile,moderate,extensive,limited,moderate,moderate,extensive,moderate,moderate,moderate,NA,moderate
pediococcus claussenii,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
pediococcus inopinatus,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,NA,limited
pediococcus pentosaceus,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
pediococcus stilesii,limited,moderate,limited,limited,limited,limited,limited,NA,NA,NA,NA
peribacillus alkalitolerans,limited,limited,limited,moderate,limited,limited,limited,moderate,NA,limited,limited
peribacillus tepidiphilus,limited,limited,limited,limited,moderate,limited,limited,moderate,NA,limited,limited
perlucidibaca piscinae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
persephonella marina,limited,limited,limited,moderate,moderate,limited,moderate,extensive,moderate,NA,moderate
petrimonas sulfuriphila,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
phaeochromatium fluminis,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA
phocaeicola barnesiae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
phocaeicola massiliensis,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
photobacterium andalusiense,limited,limited,limited,limited,limited,limited,limited,moderate,NA,NA,NA
photobacterium aplysiae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
photobacterium aquimaris,limited,moderate,limited,moderate,limited,limited,limited,moderate,NA,limited,NA
photobacterium carnosum,limited,limited,limited,limited,moderate,limited,NA,moderate,limited,NA,moderate
photobacterium frigidiphilum,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,limited
photobacterium galatheae,limited,moderate,limited,limited,moderate,limited,limited,moderate,limited,limited,limited
photobacterium iliopiscarium,limited,limited,limited,limited,limited,,NA,moderate,moderate,NA,NA
photobacterium indicum,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,NA,limited
photobacterium jeanii,limited,limited,limited,limited,moderate,NA,NA,moderate,NA,limited,limited
photobacterium kishitanii,limited,limited,limited,moderate,limited,limited,moderate,moderate,moderate,NA,limited
photobacterium lucens,limited,moderate,limited,moderate,NA,NA,NA,moderate,NA,NA,NA
photobacterium lutimaris,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
photobacterium malacitanum,limited,NA,limited,limited,limited,NA,limited,moderate,limited,NA,NA
photobacterium phosphoreum,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
photobacterium piscicola,limited,NA,limited,limited,moderate,limited,NA,moderate,NA,NA,NA
photobacterium profundum,moderate,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,extensive
photobacterium proteolyticum,limited,moderate,limited,moderate,limited,limited,moderate,moderate,NA,NA,NA
photobacterium rosenbergii,limited,limited,limited,moderate,extensive,,NA,moderate,limited,NA,NA
photobacterium sanctipauli,limited,limited,limited,limited,limited,NA,limited,moderate,limited,limited,limited
photobacterium toruni,limited,limited,limited,limited,NA,NA,NA,limited,NA,NA,NA
photorhabdus luminescens,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
photorhabdus temperata,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,extensive
phyllobacterium bourgognense,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,NA,limited
