binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Micromonospora purpureochromogenes	moderate	limited	moderate	limited	limited	limited	limited	limited	NA	limited	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Streptomyces roseoviridis	moderate	limited	limited	limited	limited	NA	limited	limited	NA	limited	limited	limited	limited	limited	0.0000	10	0.1667	limited	limited	limited
Paenibacillus rhizosphaerae	moderate	NA	moderate	limited	limited	limited	limited	limited	NA	NA	limited	limited	moderate	limited	0.2222	9	0.2500	moderate	limited	limited
Streptomyces ardesiacus	moderate	limited	moderate	limited	limited	limited	limited	limited	NA	limited	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Streptomyces viridiviolaceus	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.0833	12	0.0000	moderate	limited	limited
Clostridium punense	moderate	NA	moderate	limited	limited	NA	NA	limited	NA	NA	NA	limited	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Mycolicibacterium rhodesiae	extensive	limited	moderate	moderate	moderate	limited	limited	moderate	limited	NA	limited	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Streptomyces spongiae	limited	limited	NA	limited	NA	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Arthrobacter russicus	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Pantoea deleyi	NA	NA	limited	NA	NA	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Falsibacillus pallidus	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	limited	NA	limited	0.0000	3	0.7500	limited	limited	limited
Paenibacillus hunanensis	limited	NA	moderate	NA	limited	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Xanthomonas melonis	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	moderate	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Pseudomonas inefficax	moderate	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	nan	2	0.8333			
Nocardia neocaledoniensis	moderate	limited	moderate	limited	limited	NA	limited	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Novacetimonas hansenii	moderate	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Neisseria animalis	extensive	NA	moderate	limited	limited	limited	NA	limited	limited	NA	limited	NA	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Xanthomonas pisi	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	limited	limited	limited	0.2500	12	0.0000	moderate	limited	limited
Streptomyces rhizosphaerihabitans	limited	NA	limited	NA	NA	NA	NA	NA	NA	NA	limited	limited	limited	limited	0.0000	4	0.6667	limited	limited	limited
Pediococcus stilesii	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Klebsiella spallanzanii	NA	NA	NA	NA	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Pyxidicoccus fallax	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Sphingobium cloacae	NA	NA	limited	limited	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.0000	9	0.2500	limited	limited	limited
Pseudomonas tructae	moderate	NA	limited	NA	limited	NA	limited	limited	limited	limited	NA	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Streptomyces roseoviolaceus	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Kitasatospora albolonga	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Desulfobacter curvatus	limited	NA	moderate	NA	limited	NA	NA	limited	NA	NA	NA	NA	moderate	moderate	0.5000	4	0.6667	moderate	limited	moderate
Paraburkholderia phenoliruptrix	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Streptomyces graminifolii	limited	limited	limited	NA	limited	NA	limited	limited	NA	NA	NA	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Bacillus dafuensis	limited	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Burkholderia puraquae	moderate	limited	moderate	NA	limited	limited	NA	limited	limited	limited	NA	NA	NA	limited	0.1429	7	0.4167	moderate	limited	limited
Xanthomonas prunicola	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Yoonia vestfoldensis	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	limited	NA	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Streptomyces ossamyceticus	extensive	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.0833	12	0.0000	moderate	limited	limited
Gordonia soli	moderate	NA	moderate	NA	limited	NA	limited	limited	NA	NA	limited	NA	NA	limited	0.2000	5	0.5833	moderate	limited	limited
Mycobacterium paraense	moderate	limited	limited	NA	limited	NA	limited	limited	NA	NA	NA	limited	limited	limited	0.0000	7	0.4167	limited	limited	limited
Erythrobacter ramosus	moderate	limited	NA	moderate	limited	limited	NA	limited	limited	limited	limited	NA	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Streptomyces heilongjiangensis	moderate	limited	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	moderate	limited	0.1000	10	0.1667	moderate	limited	limited
Granulicatella balaenopterae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Streptomyces scopiformis	moderate	limited	moderate	limited	limited	limited	NA	limited	NA	limited	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Geobacillus icigianus	moderate	limited	moderate	moderate	moderate	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Streptomyces polymachus	NA	limited	limited	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Streptomyces malachitospinus	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Legionella tucsonensis	limited	NA	NA	NA	limited	NA	NA	limited	limited	limited	NA	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Acidithiobacillus ferriphilus	moderate	limited	moderate	moderate	moderate	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Shewanella profunda	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Enterococcus termitis	NA	limited	limited	NA	limited	limited	limited	NA	NA	NA	NA	limited	NA	limited	0.0000	6	0.5000	limited	limited	limited
Leifsonia soli	limited	limited	moderate	limited	limited	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Cytobacillus kochii	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Asaia siamensis	moderate	NA	limited	limited	limited	limited	limited	limited	limited	NA	limited	limited	NA	limited	0.0000	9	0.2500	limited	limited	limited
Streptomyces albiflaviniger	moderate	limited	limited	limited	limited	NA	limited	limited	limited	limited	limited	limited	moderate	limited	0.0909	11	0.0833	moderate	limited	limited
Halorubrum coriense	moderate	NA	moderate	NA	limited	NA	NA	limited	NA	NA	NA	limited	moderate	limited	0.4000	5	0.5833	moderate	limited	limited
Stenotrophomonas geniculata	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Achromobacter animicus	NA	NA	NA	NA	limited	limited	NA	limited	NA	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Acinetobacter proteolyticus	moderate	NA	limited	limited	limited	NA	limited	limited	limited	NA	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Gordonia effusa	moderate	NA	NA	NA	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Borreliella garinii	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	moderate	limited	moderate
Isoptericola dokdonensis	limited	limited	moderate	limited	limited	limited	NA	limited	NA	limited	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Rhodococcus marinonascens	NA	NA	moderate	NA	limited	limited	NA	limited	limited	NA	limited	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Lentilactobacillus kisonensis	moderate	limited	NA	NA	limited	NA	limited	limited	limited	NA	NA	NA	NA	limited	0.0000	5	0.5833	limited	limited	limited
Sanguibacter inulinus	moderate	limited	moderate	limited	limited	NA	NA	limited	NA	NA	NA	limited	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Chryseobacterium oncorhynchi	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Streptomyces prasinosporus	moderate	limited	limited	limited	limited	NA	NA	limited	NA	NA	limited	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Flavobacterium saliperosum	NA	NA	limited	NA	limited	NA	NA	NA	NA	NA	NA	NA	limited	limited	0.0000	3	0.7500	limited	limited	limited
Rhizobium bangladeshense	moderate	NA	moderate	NA	limited	limited	limited	limited	NA	moderate	limited	NA	moderate	limited	0.3750	8	0.3333	moderate	limited	limited
Streptomyces tritici	moderate	limited	moderate	limited	limited	NA	limited	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Herbaspirillum chlorophenolicum	NA	limited	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Gordonia malaquae	moderate	NA	moderate	NA	limited	limited	limited	limited	limited	NA	NA	NA	NA	limited	0.1667	6	0.5000	moderate	limited	limited
Micromonospora halophytica	moderate	NA	NA	NA	moderate	NA	NA	limited	limited	NA	limited	limited	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Colwellia hornerae	moderate	NA	NA	moderate	moderate	NA	NA	limited	NA	NA	NA	NA	NA	moderate	0.6667	3	0.7500	moderate	limited	moderate
Chryseobacterium taihuense	limited	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Streptomyces cinereospinus	moderate	NA	limited	limited	limited	NA	limited	limited	limited	limited	limited	NA	limited	limited	0.0000	9	0.2500	limited	limited	limited
Streptomyces staurosporininus	NA	limited	limited	limited	limited	NA	NA	limited	NA	limited	limited	limited	limited	limited	0.0000	9	0.2500	limited	limited	limited
Macrococcus bohemicus	moderate	NA	moderate	NA	limited	NA	NA	limited	NA	NA	limited	limited	NA	limited	0.2000	5	0.5833	moderate	limited	limited
Pseudomonas hydrolytica	moderate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	nan	1	0.9167			
Streptomyces odonnellii	NA	NA	limited	limited	NA	NA	NA	limited	NA	limited	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Limnobaculum parvum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Leptospira alstonii	moderate	moderate	NA	limited	limited	limited	limited	limited	limited	NA	limited	NA	moderate	limited	0.2222	9	0.2500	moderate	limited	limited
Comamonas odontotermitis	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	limited	NA	nan	2	0.8333			
Sphingobium quisquiliarum	moderate	limited	NA	limited	limited	limited	NA	limited	limited	NA	NA	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Bartonella capreoli	moderate	limited	limited	moderate	moderate	limited	limited	limited	limited	moderate	NA	NA	moderate	limited	0.4000	10	0.1667	moderate	limited	limited
Pseudomonas shirazica	moderate	NA	limited	NA	limited	NA	NA	limited	limited	NA	NA	limited	limited	limited	0.0000	6	0.5000	limited	limited	limited
Mycobacterium basiliense	NA	limited	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Microbacterium kitamiense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Rothia endophytica	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Kocuria salsicia	limited	NA	moderate	NA	limited	NA	NA	limited	limited	limited	NA	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Clostridium saudiense	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	3	0.7500	limited	limited	limited
Pseudarthrobacter sulfonivorans	moderate	limited	NA	NA	NA	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Macrococcus goetzii	moderate	NA	limited	limited	NA	limited	limited	limited	limited	limited	NA	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Proteus columbae	moderate	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudomonas monsensis	moderate	NA	limited	NA	limited	NA	NA	limited	limited	NA	NA	limited	limited	limited	0.0000	6	0.5000	limited	limited	limited
Burkholderia orbicola	moderate	NA	moderate	limited	limited	limited	NA	limited	limited	NA	limited	NA	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Microbacterium thalassium	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Acidovorax defluvii	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	limited	limited	NA	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Streptomyces lasiicapitis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Acetomicrobium mobile	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	NA	NA	limited	limited	moderate	moderate	0.5000	10	0.1667	moderate	limited	moderate
Streptomyces similanensis	moderate	limited	limited	NA	limited	NA	NA	limited	NA	NA	limited	limited	NA	limited	0.0000	6	0.5000	limited	limited	limited
Serratia nevei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Streptomyces longhuiensis	limited	NA	limited	NA	NA	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	3	0.7500	limited	limited	limited
Corynebacterium hansenii	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Bacillus isabeliae	moderate	NA	limited	limited	limited	NA	NA	limited	limited	limited	NA	NA	limited	limited	0.0000	7	0.4167	limited	limited	limited
Aeromonas rivuli	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Actinomadura geliboluensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Corallococcus macrosporus	moderate	moderate	moderate	limited	limited	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Mycoplana dimorpha	moderate	NA	NA	NA	limited	limited	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Microbacterium saccharophilum	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Nocardiopsis kunsanensis	moderate	NA	moderate	limited	moderate	NA	NA	limited	limited	NA	NA	limited	moderate	limited	0.4286	7	0.4167	moderate	limited	limited
Kingella negevensis	moderate	limited	moderate	limited	NA	limited	NA	limited	limited	moderate	NA	NA	limited	limited	0.2500	8	0.3333	moderate	limited	limited
Rhizobium mesosinicum	moderate	moderate	moderate	NA	limited	limited	limited	limited	limited	moderate	limited	NA	moderate	limited	0.4000	10	0.1667	moderate	limited	limited
Azospirillum rugosum	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Caballeronia zhejiangensis	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Flavobacterium plurextorum	limited	NA	limited	limited	limited	NA	limited	limited	limited	NA	limited	limited	moderate	limited	0.1111	9	0.2500	moderate	limited	limited
Achromobacter dolens	NA	limited	moderate	limited	limited	NA	limited	limited	limited	NA	NA	NA	NA	limited	0.1429	7	0.4167	moderate	limited	limited
Planococcus kocurii	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Rickettsia asiatica	limited	NA	limited	NA	limited	limited	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Nocardia gipuzkoensis	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Sinorhizobium kostiense	NA	limited	moderate	NA	limited	NA	NA	limited	limited	limited	NA	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Pseudomonas nitritireducens	moderate	NA	moderate	limited	limited	NA	limited	limited	limited	limited	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Solibacillus kalamii	moderate	limited	moderate	moderate	moderate	NA	limited	limited	limited	NA	NA	limited	moderate	limited	0.4444	9	0.2500	moderate	limited	limited
Pseudoclavibacter helvolus	moderate	NA	moderate	limited	limited	limited	NA	limited	limited	NA	limited	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Heliomicrobium modesticaldum	limited	moderate	moderate	moderate	limited	limited	NA	limited	NA	NA	NA	limited	NA	limited	0.4286	7	0.4167	moderate	limited	limited
Paenibacillus fonticola	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Mycolicibacterium chubuense	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Vibrio europaeus	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	NA	NA	moderate	moderate	0.5000	10	0.1667	moderate	limited	moderate
Rhizobium yanglingense	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	NA	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Clostridium liquoris	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Cryobacterium psychrotolerans	moderate	limited	moderate	moderate	moderate	limited	NA	limited	limited	NA	NA	limited	moderate	limited	0.4444	9	0.2500	moderate	limited	limited
Luteibacter anthropi	moderate	limited	moderate	limited	limited	limited	NA	limited	NA	NA	limited	NA	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Streptomyces thermospinosisporus	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.0000	12	0.0000	limited	limited	limited
Actinomadura atramentaria	moderate	limited	moderate	NA	limited	limited	limited	limited	NA	NA	NA	NA	moderate	limited	0.2857	7	0.4167	moderate	limited	limited
Flavobacterium tructae	moderate	NA	moderate	limited	limited	NA	moderate	limited	NA	moderate	NA	limited	moderate	moderate	0.5000	8	0.3333	moderate	limited	moderate
Mesorhizobium chacoense	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	NA	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Staphylococcus cornubiensis	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	limited	limited	limited	0.0000	3	0.7500	limited	limited	limited
Yersinia hibernica	moderate	limited	moderate	NA	limited	limited	limited	limited	NA	limited	NA	NA	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Micromonospora coxensis	moderate	NA	moderate	limited	limited	NA	NA	limited	limited	NA	NA	limited	limited	limited	0.1429	7	0.4167	moderate	limited	limited
Gordonia cholesterolivorans	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	NA	NA	limited	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Corynebacterium crudilactis	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Flavobacterium subsaxonicum	NA	NA	limited	NA	limited	NA	NA	limited	NA	NA	limited	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Streptomyces kronopolitis	moderate	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	NA	moderate	limited	0.1111	9	0.2500	moderate	limited	limited
Streptomyces cahuitamycinicus	limited	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	limited	NA	nan	2	0.8333			
Pectobacterium polonicum	limited	NA	NA	NA	NA	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.0000	5	0.5833	limited	limited	limited
Bradyrhizobium manausense	moderate	limited	moderate	NA	limited	limited	limited	limited	NA	NA	limited	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Paraburkholderia megapolitana	moderate	NA	moderate	moderate	limited	NA	limited	limited	NA	NA	limited	NA	moderate	limited	0.4286	7	0.4167	moderate	limited	limited
Agromyces aureus	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	limited	limited	limited	limited	limited	0.0909	11	0.0833	moderate	limited	limited
Paenibacillus terrigena	extensive	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Flavobacterium xinjiangense	NA	NA	limited	limited	limited	limited	NA	limited	limited	NA	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Aminobacter lissarensis	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Morococcus cerebrosus	NA	NA	NA	NA	limited	NA	NA	NA	limited	NA	NA	NA	NA	NA	nan	2	0.8333			
Streptomyces ziwulingensis	moderate	NA	limited	limited	NA	NA	NA	limited	limited	limited	limited	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Rhizobium binae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Mesorhizobium temperatum	moderate	NA	NA	NA	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.0000	8	0.3333	limited	limited	limited
Pseudomonas nicosulfuronedens	NA	NA	limited	NA	limited	NA	NA	NA	NA	NA	NA	limited	NA	limited	0.0000	3	0.7500	limited	limited	limited
Bacillus arachidis	limited	NA	NA	limited	limited	NA	NA	NA	NA	NA	limited	NA	moderate	limited	0.2500	4	0.6667	moderate	limited	limited
Nocardia flavorosea	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Microbulbifer elongatus	moderate	NA	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Pseudomonas wadenswilerensis	NA	NA	NA	NA	NA	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	1	0.9167			
Pseudomonas turukhanskensis	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	NA	limited	limited	0.0000	4	0.6667	limited	limited	limited
Cecembia lonarensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	0	1.0000			
Streptomyces yaanensis	moderate	limited	limited	NA	limited	NA	NA	limited	NA	NA	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Vibrio agarivorans	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	NA	limited	NA	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Lentilactobacillus diolivorans	moderate	limited	NA	moderate	limited	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Rhodococcus phenolicus	moderate	NA	moderate	limited	limited	limited	NA	limited	NA	NA	limited	NA	moderate	limited	0.2857	7	0.4167	moderate	limited	limited
Rhizobium johnstonii	moderate	NA	moderate	limited	limited	NA	NA	limited	limited	moderate	limited	NA	limited	limited	0.2500	8	0.3333	moderate	limited	limited
Streptomyces lacrimifluminis	moderate	limited	limited	NA	limited	NA	NA	limited	limited	NA	NA	limited	limited	limited	0.0000	7	0.4167	limited	limited	limited
Pseudomonas mangiferae	moderate	NA	limited	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.0000	9	0.2500	limited	limited	limited
Bhargavaea beijingensis	limited	limited	moderate	NA	limited	limited	NA	limited	limited	NA	NA	limited	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Bartonella queenslandensis	limited	NA	NA	limited	limited	limited	NA	limited	NA	moderate	NA	NA	moderate	limited	0.3333	6	0.5000	moderate	limited	limited
Chryseobacterium geocarposphaerae	limited	limited	moderate	NA	limited	limited	limited	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Rhizobium esperanzae	moderate	NA	limited	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Actinomadura bangladeshensis	moderate	NA	NA	NA	NA	NA	NA	limited	NA	limited	NA	NA	NA	NA	nan	2	0.8333			
Enterococcus rotai	limited	limited	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Streptomyces cinnabarigriseus	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.0833	12	0.0000	moderate	limited	limited
Marinobacter gudaonensis	moderate	limited	NA	NA	limited	NA	NA	limited	NA	limited	NA	NA	limited	limited	0.0000	5	0.5833	limited	limited	limited
Burkholderia mayonis	NA	NA	moderate	NA	limited	NA	NA	NA	NA	NA	NA	NA	limited	limited	0.3333	3	0.7500	moderate	limited	limited
Trinickia caryophylli	NA	NA	NA	NA	limited	NA	limited	limited	NA	NA	limited	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Paenibacillus daejeonensis	moderate	NA	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Xenorhabdus ehlersii	moderate	NA	moderate	NA	limited	NA	limited	limited	NA	limited	NA	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Micromonospora profundi	moderate	NA	moderate	limited	limited	NA	NA	limited	limited	NA	NA	NA	limited	limited	0.1667	6	0.5000	moderate	limited	limited
Paraburkholderia bryophila	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Brevibacterium ravenspurgense	limited	NA	moderate	limited	limited	NA	NA	limited	limited	NA	limited	NA	limited	limited	0.1429	7	0.4167	moderate	limited	limited
